,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
49,Araraquara,2016,12,Masculino,Noite,Colisão,Bicicleta,35-39,-21.804829,-48.112262
50,Araraquara,2016,12,Masculino,Manhã,Outros,Motocicleta,45-49,-21.797643,-48.172876
51,Araraquara,2016,12,Masculino,Tarde,Choque,Caminhão,60-64,-21.847167382,-48.1379952706
52,Araraquara,2017,1,Masculino,Tarde,Choque,Motocicleta,18-24,"-21.720623, -48.152574",-48.152586928
53,Araraquara,2017,1,Masculino,Tarde,Colisão,Automóvel,25-29,-21.7746636964,-48.1002101551
54,Araraquara,2017,1,Masculino,Noite,Choque,Motocicleta,30-34,-21.752965,-48.182054
55,Araraquara,2017,2,Masculino,Tarde,Choque,Bicicleta,25-29,-21.798782,-48.187576
56,Araraquara,2017,2,Feminino,Noite,Colisao,Bicicleta,35-39,Não Disponível,Não Disponível
57,Araraquara,2017,2,Masculino,Noite,Colisao,Automovel,45-49,-21.7589566871,-48.074324715
58,Araraquara,2017,2,Masculino,Noite,Colisao,Automovel,45-49,-21.7589566871,-48.074324715
59,Araraquara,2017,3,Masculino,Nao Disponivel,Nao Disponivel,Nao Disponivel,30-34,NAO DISPONIVEL,NAO DISPONIVEL 
60,Araraquara,2017,3,Masculino,Madrugada,Colisao,Caminhao,50-54,-21.8819267183,-48.0875003978
61,Araras,2016,12,Feminino,Noite,Atropelamento,Pedestre,80 Ou Mais,-22.358193,-47.394629
62,Araras,2016,12,Não Disponível,Noite,Colisão,Bicicleta,Não Disponível,-22.394188,-47.363788
63,Araras,2017,1,Masculino,Madrugada,Outros,Automóvel,25-29,-22.3899,-47.3934
64,Araras,2017,1,Masculino,Tarde,Outros,Automóvel,30-34,-22.360371,-47.400529
65,Araras,2017,1,Feminino,Manhã,Atropelamento,Pedestre,65-69,-22.35991,-47.375346
66,Araras,2017,3,Masculino,Tarde,Choque,Motocicleta,18-24,-22.355755,-47.324731
67,Araras,2017,3,Masculino,Madrugada,Outros,Motocicleta,40-44,-22.359204,-47.393281
68,Araras,2017,3,Feminino,Manha,Outros,Bicicleta,60-64,NAO DISPONIVEL,NAO DISPONIVEL 
69,Areiopolis,2016,12,Masculino,Noite,Atropelamento,Pedestre,60-64,-22.6784483377,-48.6853580982
70,Areiopolis,2016,12,Masculino,Noite,Atropelamento,Pedestre,Não Disponível,-22.6784483377,-48.6853580982
71,Artur Nogueira,2016,12,Masculino,Noite,Atropelamento,Pedestre,40-44,-22.5823599063,-47.1801333787
72,Artur Nogueira,2017,1,Masculino,Noite,Colisão,Bicicleta,30-34,-22.5481678776,-47.1709047092
73,Aruja,2016,12,Masculino,Madrugada,Atropelamento,Pedestre,Não Disponível,-23.427844,-46.357007
74,Aruja,2017,2,Masculino,Noite,Atropelamento,Pedestre,30-34,-23.3971459182,-46.2928958335
75,Aruja,2017,3,Masculino,Noite,Colisao,Motocicleta,35-39,-23.4265610311,-46.2802803936
76,Aruja,2017,3,Masculino,Noite,Atropelamento,Pedestre,50-54,-23.3936950787,-46.2868751324
77,Aruja,2017,3,Masculino,Madrugada,Atropelamento,Automovel,65-69,-23.4076923275,-46.3379311281
78,Assis,2016,12,Feminino,Tarde,Atropelamento,Pedestre,0-17,-22.6812135347,-50.4401259254
79,Assis,2016,12,Masculino,Madrugada,Colisão,Automóvel,25-29,-22.6973532833,-50.5137795172
