;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.5052929359099 ; -46.8850288066078 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batatais; Batatais ;2016; 11 ; FEMININO ; TARDE ; CHOQUE ; MOTOCICLETA ; 0-17 ; -20.8047478735494 ; -47.5736959028003 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batatais; Batatais ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -20.9273720752231 ; -47.6266871468818 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.335502 ; -49.032110 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.343227 ; -49.091913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.297815 ; -49.061432 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.329549 ; -49.092520 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 70-74 ; -22.317784 ; -49.092780 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 18-24 ; -22.2999095351886 ; -49.065536574806 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 18-24 ; -22.329508 ; -49.101186 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; Não Disponível ; 18-24 ; -23.764180292262 ; -45.9228652472071 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 11 ; FEMININO ; MANHÃ ; OUTROS ; MOTOCICLETA ; 60-64 ; -21.262154 ; -50.317326 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 11 ; FEMININO ; MADRUGADA ; COLISÃO ; ONIBUS ; 75-79 ; -23.2931655469329 ; -47.7304335681271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 11 ; FEMININO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.223035 ; -47.704516 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 11 ; FEMININO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.223035 ; -47.704516 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; ONIBUS ; 40-44 ; -23.2931655469329 ; -47.7304335681271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.295457457 ; -47.716942991 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borborema; Borborema ;2016; 11 ; FEMININO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 40-44 ; -21.6082311709821 ; -49.1024387125032 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borborema; Borborema ;2016; 11 ; FEMININO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -21.6330350481096 ; -49.0778986650962 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 11 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.880100 ; -48.450888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -22.931917 ; -48.346355 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 40-44 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brotas; Brotas ;2016; 11 ; FEMININO ; MADRUGADA ; OUTROS ; AUTOMÓVEL ; 30-34 ; -22.331566 ; -48.104753 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buri; Buri ;2016; 11 ; MASCULINO ; MADRUGADA ; OUTROS ; CAMINHÃO ; 60-64 ; -23.722257 ; -48.480038 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.1016598111179 ; -45.6904822622867 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cafelandia; Cafelandia ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -21.840312196 ; -49.602290939 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; FEMININO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.894797 ; -47.135006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -22.937079 ; -47.160326 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.9559821193184 ; -47.094064148209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.9559821193184 ; -47.094064148209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.880331765 ; -47.117582560 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 30-34 ; -22.9559821193184 ; -47.094064148209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.894797 ; -47.135006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; MANHÃ ; Não Disponível ; MOTOCICLETA ; 30-34 ; -22.852305 ; -47.112951 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -22.9647865846986 ; -47.099206364115 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; NOITE ; Não Disponível ; Não Disponível ; 25-29 ; -22.924593082 ; -47.087171674 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -22.796104773 ; -47.032170812 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.904029 ; -47.060122 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; TARDE ; CHOQUE ; CAMINHÃO ; 25-29 ; -22.879231925 ; -47.015151872 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.933558 ; -47.196804 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.211351 ; -46.761912 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capao Bonito; Capao Bonito ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -24.0115014410166 ; -48.3360605122999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 11 ; FEMININO ; MANHÃ ; Não Disponível ; MOTOCICLETA ; 0-17 ; -23.5914212275539 ; -45.3364433596783 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 11 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.713106 ; -45.454637 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -23.624264 ; -45.420212 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 11 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.537484 ; -46.835594 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 11 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.532540 ; -46.836347 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 11 ; MASCULINO ; Não Disponível ; Não Disponível ; Não Disponível ; 50-54 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.527459 ; -46.860641 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casa Branca; Casa Branca ;2016; 11 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -21.758310 ; -47.114659 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 11 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -21.147204 ; -48.968744 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesario Lange; Cesario Lange ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -23.218979 ; -47.887915 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordeiropolis; Cordeiropolis ;2016; 11 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.478562138 ; -47.399026752 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroados; Coroados ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -21.3652021584565 ; -50.2885505697975 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 11 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 35-39 ; -23.5906646308232 ; -46.8229448828733 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 11 ; FEMININO ; MADRUGADA ; OUTROS ; AUTOMÓVEL ; 18-24 ; -23.9125439724354 ; -46.4224199928435 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 11 ; FEMININO ; MADRUGADA ; OUTROS ; AUTOMÓVEL ; 18-24 ; -23.9125439724354 ; -46.4224199928435 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 11 ; FEMININO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.9062313961497 ; -46.4480363527588 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 11 ; MASCULINO ; Não Disponível ; COLISÃO ; BICICLETA ; 30-34 ; -23.922067 ; -46.420938 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; BICICLETA ; 55-59 ; -23.891350 ; -46.420211 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Descalvado; Descalvado ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -21.882300000 ; -47.556900000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Descalvado; Descalvado ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -21.9209713460553 ; -47.5871954275994 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.827717 ; -46.846692 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espirito Santo do Pinhal; Espirito Santo do Pinhal ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.196550 ; -46.767088 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fernandopolis; Fernandopolis ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -20.2717999025829 ; -50.2919270373298 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 11 ; FEMININO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 18-24 ; -20.5299937388875 ; -47.4233586193475 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -20.424457 ; -47.301171 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 11 ; MASCULINO ; Não Disponível ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.3340151759809 ; -46.7279672587034 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.3335338416938 ; -46.7113699064484 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -23.3335338416938 ; -46.7113699064484 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaimbe; Guaimbe ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 40-44 ; -21.888453 ; -49.855604 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 11 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.8043140782421 ; -45.1719129351378 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 11 ; MASCULINO ; MADRUGADA ; OUTROS ; BICICLETA ; 45-49 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
