;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGUAPE; IGUAPE ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -24.5028452243586 ; -47.5625748786517 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILHA COMPRIDA; ILHA COMPRIDA ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; AUTOMOVEL ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILHA SOLTEIRA; ILHA SOLTEIRA ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA; INDAIATUBA ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.075117 ; -47.202567 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA; INDAIATUBA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; BICICLETA ; 65-69 ; -23.077751 ; -47.218495 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA; INDAIATUBA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.142296 ; -47.234689 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA; INDAIATUBA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 55-59 ; -23.129179 ; -47.254575 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDAIATUBA; INDAIATUBA ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 25-29 ; -23.086279 ; -47.228387 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITABERA; ITABERA ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.864228 ; -49.14337 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITABERA; ITABERA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.859429612 ; -49.129749116 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITANHAEM; ITANHAEM ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; BICICLETA ; 75-79 ; -24.170771 ; -46.77645 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITANHAEM; ITANHAEM ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITANHAEM; ITANHAEM ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 40-44 ; -24.18128 ; -46.79851 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITANHAEM; ITANHAEM ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPECERICA DA SERRA; ITAPECERICA DA SERRA ;2017; 2 ; FEMININO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 30-34 ; -23.7116757589999 ; -46.8491438299999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPECERICA DA SERRA; ITAPECERICA DA SERRA ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.775654 ; -46.837857 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPECERICA DA SERRA; ITAPECERICA DA SERRA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; CHOQUE ; BICICLETA ; 45-49 ; -23.733137 ; -46.859473 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPECERICA DA SERRA; ITAPECERICA DA SERRA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 25-29 ; -23.687999033 ; -46.8070784989999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPEVA; ITAPEVA ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; CAMINHAO ; 18-24 ; -24.034096 ; -48.915140 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPEVI; ITAPEVI ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.5355937028574 ; -46.939605506169 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAPIRA; ITAPIRA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 25-29 ; -22.436974 ; -46.812607 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA; ITAQUAQUECETUBA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.453041 ; -46.334375 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA; ITAQUAQUECETUBA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; NAO DISPONIVEL ; 35-39 ; -23.472777290923 ; -46.3443444169999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA; ITAQUAQUECETUBA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.472777290923 ; -46.3443444169999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA; ITAQUAQUECETUBA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 60-64 ; -23.4638468734914 ; -46.3341531066713 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITAQUAQUECETUBA; ITAQUAQUECETUBA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 45-49 ; -23.442382108 ; -46.301467481 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATIBA; ITATIBA ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 65-69 ; -22.9877587455584 ; -46.7849595107813 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATIBA; ITATIBA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 40-44 ; -22.968495 ; -46.822862 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATIBA; ITATIBA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 50-54 ; -23.0132682010936 ; -46.8212306009155 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITATINGA; ITATINGA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; CAMINHAO ; 35-39 ; -23.0647202152921 ; -48.5291306176405 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITIRAPINA; ITIRAPINA ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -22.250468 ; -47.82633 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU; ITU ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; CAMINHAO ; 35-39 ; -23.4181154745195 ; -47.2538222622954 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU; ITU ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; CAMINHAO ; 50-54 ; -23.4181154745195 ; -47.2538222622954 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU; ITU ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; MOTOCICLETA ; 40-44 ; -23.415683481 ; -47.257704264 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITU; ITU ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 45-49 ; -23.2594385154039 ; -47.198694235969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JABOTICABAL; JABOTICABAL ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 18-24 ; -21.2332692429999 ; -48.355800281 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JABOTICABAL; JABOTICABAL ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 60-64 ; -21.2332692429999 ; -48.355800281 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JABOTICABAL; JABOTICABAL ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 60-64 ; -21.2332692429999 ; -48.355800281 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JACAREI; JACAREI ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.302778 ; -45.973403 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JARDINOPOLIS; JARDINOPOLIS ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; ONIBUS ; 25-29 ; -20.9192344311694 ; -47.886688972149 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JARDINOPOLIS; JARDINOPOLIS ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -20.9278418329224 ; -47.8840924601301 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JAU; JAU ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 18-24 ; -22.258640000 ; -48.544460000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUNDIAI; JUNDIAI ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.210900509 ; -46.891751289 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUNDIAI; JUNDIAI ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; MOTOCICLETA ; 18-24 ; -23.190928 ; -46.952949 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUNDIAI; JUNDIAI ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; AUTOMOVEL ; 40-44 ; -23.2015979917967 ; -46.8922870177613 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUQUITIBA; JUQUITIBA ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.9378145095585 ; -47.0638164274717 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUQUITIBA; JUQUITIBA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.866269 ; -47.093081 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAGOINHA; LAGOINHA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 0-17 ; -23.098542 ; -45.184976 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAVRINHAS; LAVRINHAS ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 65-69 ; -22.5695875661775 ; -44.8651305514638 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEME; LEME ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 45-49 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LENCOIS PAULISTA; LENCOIS PAULISTA ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; CAMINHAO ; 45-49 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMEIRA; LIMEIRA ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 40-44 ; -22.546800000 ; -47.360100000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMEIRA; LIMEIRA ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMEIRA; LIMEIRA ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 40-44 ; -22.583225 ; -47.409135 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOUVEIRA; LOUVEIRA ;2017; 2 ; MASCULINO ; TARDE ; NAO DISPONIVEL ; AUTOMOVEL ; 70-74 ; -23.090420658 ; -46.972727180 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUCELIA; LUCELIA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -21.734144 ; -51.019656 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAIRINQUE; MAIRINQUE ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; -23.529964025 ; -47.161097044 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAIRINQUE; MAIRINQUE ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; -23.529964025 ; -47.161097044 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAIRIPORA; MAIRIPORA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; NAO DISPONIVEL ; NAO DISPONIVEL ; 75-79 ; -23.321005 ; -46.590132 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARILIA; MARILIA ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; AUTOMOVEL ; 55-59 ; -22.073067356 ; -49.873650061 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARILIA; MARILIA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 30-34 ; -22.2885453929894 ; -50.0112947622078 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARILIA; MARILIA ;2017; 2 ; NÇO DISPONÖVEL ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -22.213895 ; -49.942256 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATAO; MATAO ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -21.667680000 ; -48.365030000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRACATU; MIRACATU ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -24.3408587120846 ; -47.4988166038759 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRACATU; MIRACATU ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; ONIBUS ; 18-24 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; ONIBUS ; 18-24 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; ONIBUS ; 30-34 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; ONIBUS ; 30-34 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; ONIBUS ; 40-44 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; ONIBUS ; 30-34 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; ONIBUS ; 50-54 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRANTE DO PARANAPANEMA; MIRANTE DO PARANAPANEMA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; ONIBUS ; 60-64 ; -22.4225187898858 ; -52.1072760735891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIRASSOL; MIRASSOL ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 70-74 ; -20.804156 ; -49.535184 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOCOCA; MOCOCA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; AUTOMOVEL ; 25-29 ; -21.437294299 ; -47.009600821 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 0-17 ; -23.498998 ; -46.179242 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.508153 ; -46.14784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.53896 ; -46.227729 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.492312 ; -46.147014 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 60-64 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI DAS CRUZES; MOGI DAS CRUZES ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; NAO DISPONIVEL ; 35-39 ; -23.5023690112554 ; -46.1909540851782 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOGI GUACU; MOGI GUACU ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -22.355613 ; -46.957264 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONTE APRAZIVEL; MONTE APRAZIVEL ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -20.6840093692971 ; -49.6877951757803 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONTE AZUL PAULISTA; MONTE AZUL PAULISTA ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ; -20.8985721735365 ; -48.608323731863 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAZARE PAULISTA; NAZARE PAULISTA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 0-17 ; -23.1689698807636 ; -46.3939247867688 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OLIMPIA; OLIMPIA ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; CAMINHAO ; 25-29 ; -20.718267 ; -49.006104 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OLIMPIA; OLIMPIA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ; -20.638183377 ; -48.9175813799999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OLIMPIA; OLIMPIA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 65-69 ; -20.638183377 ; -48.9175813799999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSASCO; OSASCO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.535311 ; -46.787844 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSASCO; OSASCO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.5325090246363 ; -46.7846543964545 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSASCO; OSASCO ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSASCO; OSASCO ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSVALDO CRUZ; OSVALDO CRUZ ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -21.813455 ; -50.913781 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OURINHOS; OURINHOS ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -22.909350559 ; -49.771479484 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OURINHOS; OURINHOS ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; MOTOCICLETA ; 18-24 ; -22.962618 ; -49.910112 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALMARES PAULISTA; PALMARES PAULISTA ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; AUTOMOVEL ; 0-17 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALMARES PAULISTA; PALMARES PAULISTA ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; AUTOMOVEL ; 18-24 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANORAMA; PANORAMA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 40-44 ; -21.3399923255995 ; -51.8352380785474 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARANAPANEMA; PARANAPANEMA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.451904 ; -48.889973 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARDINHO; PARDINHO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 55-59 ; -23.1443960187186 ; -48.4126790450371 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARIQUERA-ACU; PARIQUERA-ACU ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 45-49 ; -24.7092369679745 ; -47.8847832505652 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAULINIA; PAULINIA ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 30-34 ; -22.7006309527773 ; -47.1474380208228 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAULINIA; PAULINIA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 30-34 ; -22.737263 ; -47.18224 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEDREIRA; PEDREIRA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -22.743195 ; -46.912248 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERUIBE; PERUIBE ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -24.315814 ; -47.008916 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERUIBE; PERUIBE ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -24.300939145 ; -47.0147722799999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIACATU; PIACATU ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 65-69 ; -21.611561 ; -50.614836 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIEDADE; PIEDADE ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.75599076989 ; -47.436547336587 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIEDADE; PIEDADE ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 0-17 ; -23.7237911265686 ; -47.4190805526304 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PILAR DO SUL; PILAR DO SUL ;2017; 2 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 40-44 ; -23.802050327 ; -47.801138652 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINDAMONHANGABA; PINDAMONHANGABA ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.958978 ; -45.407575 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINDAMONHANGABA; PINDAMONHANGABA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; BICICLETA ; 70-74 ; -22.9344832888571 ; -45.4592292172857 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINDAMONHANGABA; PINDAMONHANGABA ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; MOTOCICLETA ; 30-34 ; -22.9816595354622 ; -45.4633534079177 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINHALZINHO; PINHALZINHO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 70-74 ; -22.7767064928035 ; -46.5632462322135 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PINHALZINHO; PINHALZINHO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 50-54 ; -22.792453136258 ; -46.5554377425313 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 45-49 ; -22.702832 ; -47.648452 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; BICICLETA ; 0-17 ; -22.757675 ; -47.653576 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
