;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.822982 ; -46.125309 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; BICICLETA ; NÆo Dispon¡vel ; -23.7757555646847 ; -45.977807581875 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI; BIRIGUI ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; AUTOMOVEL ; 40-44 ; -21.2862506608639 ; -50.3579173183113 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI; BIRIGUI ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -21.287074 ; -50.351197 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI; BIRIGUI ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 35-39 ; -21.2571628063648 ; -50.3296948008543 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI; BIRIGUI ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 50-54 ; -21.269563 ; -50.332168 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biritiba Mirim; Biritiba Mirim ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.709332676428 ; -46.0618152313888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAUNA; BRAUNA ;2017; 2 ; FEMININO ; MANHÇ ; CHOQUE ; AUTOMOVEL ; 18-24 ; -21.5090965645372 ; -50.276345959409 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BROTAS; BROTAS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 60-64 ; -22.274357 ; -48.12003 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BROTAS; BROTAS ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 65-69 ; -22.3368371928459 ; -48.1100852157973 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
