Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
AGUAI;2017;2;FEMININO;TARDE;COLISAO;MOTOCICLETA;25-29;-22.066091;-46.978894
ALUMINIO;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-23.517351;-47.257311
ANDRADINA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-20.888534;-51.371309
ANDRADINA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;40-44;-20.89581;-51.382692
ANGATUBA;2017;2;MASCULINO;Não Disponível;OUTROS;OUTROS;65-69;Não Disponível;Não Disponível
ANGATUBA;2017;2;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;18-24;-23.5446032338;-48.2611197275
ARACATUBA;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;MOTOCICLETA;25-29;Não Disponível;Não Disponível
ARARAQUARA;2017;2;FEMININO;NOITE;COLISAO;BICICLETA;35-39;Não Disponível;Não Disponível
ARARAQUARA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;45-49;-21.7589566871;-48.074324715
ARARAQUARA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;45-49;-21.7589566871;-48.074324715
ARARAQUARA;2017;2;MASCULINO;TARDE;CHOQUE;BICICLETA;25-29;-21.798782;-48.187576
ARUJA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-23.3971459182;-46.2928958335
ASSIS;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;55-59;-22.679711;-50.435395
ATIBAIA;2017;2;MASCULINO;MANHÃ;CHOQUE;MOTOCICLETA;25-29;-23.1020816585;-46.5685501276
ATIBAIA;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;MOTOCICLETA;30-34;-21.5090965645;-50.2763459594
ATIBAIA;2017;2;MASCULINO;NOITE;OUTROS;AUTOMOVEL;0-17;-23.171718;-46.623692
ATIBAIA;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;-23.0781345953;-46.5693021698
BARRETOS;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;40-44;-20.6538562553;-48.549977379
BARUERI;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;NAO DISPONIVEL;45-49;-23.510238716;-46.910990997
BARUERI;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;-23.4962641034;-46.83613134
BARUERI;2017;2;MASCULINO;TARDE;NAO DISPONIVEL;MOTOCICLETA;40-44;-23.52344;-46.873991
BARUERI;2017;2;MASCULINO;TARDE;NAO DISPONIVEL;MOTOCICLETA;60-64;Não Disponível;Não Disponível
BASTOS;2017;2;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;45-49;-21.940893;-50.645163
BAURU;2017;2;FEMININO;MADRUGADA;CHOQUE;AUTOMOVEL;18-24;-22.320129277;-49.003695779
BAURU;2017;2;FEMININO;MADRUGADA;OUTROS;MOTOCICLETA;25-29;-22.2999095352;-49.0655365748
BAURU;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;30-34;-22.31952;-48.98145
BAURU;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;-22.281862;-49.062675
BERTIOGA;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;35-39;Não Disponível;Não Disponível
BERTIOGA;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;50-54;-23.822982;-46.125309
BERTIOGA;2017;2;MASCULINO;Não Disponível;COLISAO;BICICLETA;Não Disponível;-23.7757555647;-45.9778075819
BIRIGUI;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;40-44;-21.2862506609;-50.3579173183
BIRIGUI;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;50-54;-21.287074;-50.351197
BIRIGUI;2017;2;MASCULINO;NOITE;ATROPELAMENTO;MOTOCICLETA;35-39;-21.2571628064;-50.3296948009
BIRIGUI;2017;2;MASCULINO;NOITE;OUTROS;BICICLETA;50-54;-21.269563;-50.332168
Biritiba Mirim;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;60-64;-23.7093326764;-46.0618152314
BRAUNA;2017;2;FEMININO;MANHÃ;CHOQUE;AUTOMOVEL;18-24;-21.5090965645;-50.2763459594
BROTAS;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;60-64;-22.274357;-48.12003
BROTAS;2017;2;MASCULINO;TARDE;CHOQUE;AUTOMOVEL;65-69;-22.3368371928;-48.1100852158
CACAPAVA;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;Não Disponível;-23.1062205003;-45.6970974134
CAIEIRAS;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;25-29;-23.35109961;-46.799691982
CAIEIRAS;2017;2;MASCULINO;MANHÃ;OUTROS;PEDESTRE;55-59;-23.353292;-46.794812
CAIEIRAS;2017;2;MASCULINO;TARDE;CHOQUE;AUTOMOVEL;40-44;-23.379124;-46.709407
CAJATI;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;NAO DISPONIVEL;40-44;Não Disponível;Não Disponível
CAJATI;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-24.738105;-48.122328
CAJATI;2017;2;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;18-24;-24.723514;-48.145189
CAMPINAS;2017;2;FEMININO;Não Disponível;ATROPELAMENTO;PEDESTRE;50-54;-22.820342;-47.068068
CAMPINAS;2017;2;FEMININO;NOITE;COLISAO;MOTOCICLETA;30-34;-22.883086695;-47.115441749
CAMPINAS;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;25-29;-22.9377416085;-47.0851882809
