Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
CAMPINAS;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;60-64;-22.91145011;-47.101403475
CAMPINAS;2017;2;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;25-29;-22.89849;-47.047332
CAMPINAS;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;25-29;-22.887396;-47.122145
CAMPINAS;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;18-24;-22.7880632663;-47.030314024
CAMPINAS;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;Não Disponível;-22.856012;-47.044429
CAMPINAS;2017;2;MASCULINO;NOITE;COLISAO;BICICLETA;25-29;-23.0521497598;-47.1433172281
CAMPINAS;2017;2;MASCULINO;NOITE;COLISAO;CAMINHAO;25-29;-23.037969374;-47.068855812
CAMPINAS;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;0-17;-22.95748;-47.200031
CAMPINAS;2017;2;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;18-24;-22.929896;-47.085601
CANDIDO MOTA;2017;2;MASCULINO;MADRUGADA;OUTROS;AUTOMOVEL;18-24;-22.7239614515;-50.3298393853
CAPAO BONITO;2017;2;FEMININO;TARDE;OUTROS;AUTOMOVEL;75-79;-23.960063054;-48.4318948202
CAPAO BONITO;2017;2;MASCULINO;Não Disponível;COLISAO;MOTOCICLETA;50-54;-24.0047893813;-48.3231933664
CAPELA DO ALTO;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;35-39;-23.5509229514;-47.7665954873
CARAGUATATUBA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;70-74;-23.693363772;-45.4424952574
CARAPICUIBA;2017;2;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;50-54;-23.523702;-46.820518
CARAPICUIBA;2017;2;MASCULINO;MANHÃ;CHOQUE;MOTOCICLETA;18-24;-23.523419444;-46.816522222
CARAPICUIBA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;55-59;-23.522934;-46.854328
CARAPICUIBA;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;80 ou mais;-23.526915;-46.835253
CLEMENTINA;2017;2;FEMININO;TARDE;COLISAO;AUTOMOVEL;25-29;-21.529748;-50.435234
COTIA;2017;2;MASCULINO;TARDE;COLISAO;AUTOMOVEL;60-64;-23.5812476066;-46.921080165
COTIA;2017;2;MASCULINO;TARDE;OUTROS;MOTOCICLETA;35-39;-23.603348;-46.919637
CRAVINHOS;2017;2;MASCULINO;MADRUGADA;NAO DISPONIVEL;MOTOCICLETA;25-29;-21.3156273583;-47.7352502947
CUBATAO;2017;2;MASCULINO;MANHÃ;CHOQUE;CAMINHAO;45-49;-23.887042;-46.43463
CUBATAO;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;45-49;-23.8910198985;-46.492102712
CUNHA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;55-59;-23.043125;-44.942989
DIADEMA;2017;2;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;18-24;Não Disponível;Não Disponível
DIADEMA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;35-39;-23.7155329902;-46.6047964895
DIADEMA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;Não Disponível;-23.674495771;-46.628288504
DOBRADA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;35-39;-21.550121;-48.384369
DRACENA;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;65-69;-21.531979;-51.547835
EMBU-GUACU;2017;2;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;18-24;-23.8663183436;-46.830943795
EMBU-GUACU;2017;2;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;60-64;Não Disponível;Não Disponível
EMBU-GUACU;2017;2;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;18-24;-23.875483;-46.792429
EMBU-GUACU;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;55-59;-23.7879372961;-46.8113339861
ESPIRITO SANTO DO PINHAL;2017;2;MASCULINO;MANHÃ;CHOQUE;BICICLETA;55-59;-22.198307;-46.762866
FRANCA;2017;2;FEMININO;MANHÃ;COLISAO;MOTOCICLETA;18-24;-20.535045;-47.413116
FRANCA;2017;2;FEMININO;Não Disponível;ATROPELAMENTO;PEDESTRE;80 ou mais;-20.513572;-47.387696
GENERAL SALGADO;2017;2;FEMININO;Não Disponível;COLISAO;AUTOMOVEL;35-39;-20.6446277259;-50.3839853963
GUAIMBE;2017;2;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;25-29;-21.946852;-49.812947
GUARACI;2017;2;MASCULINO;MADRUGADA;OUTROS;AUTOMOVEL;35-39;-20.512654;-48.906921
GUARARAPES;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;50-54;-21.2088038166;-50.6644010108
GUARARAPES;2017;2;MASCULINO;TARDE;OUTROS;OUTROS;0-17;-21.357312;-50.716444
GUARAREMA;2017;2;MASCULINO;NOITE;CHOQUE;BICICLETA;0-17;-23.419094;-46.003156
GUARAREMA;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;75-79;Não Disponível;Não Disponível
GUARATINGUETA;2017;2;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;-22.775857;-45.186606
GUARATINGUETA;2017;2;MASCULINO;Não Disponível;ATROPELAMENTO;PEDESTRE;50-54;Não Disponível;Não Disponível
GUAREI;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;70-74;-23.369698;-48.182049
GUARULHOS;2017;2;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;18-24;-23.4685802842;-46.5162943298
GUARULHOS;2017;2;FEMININO;MANHÃ;COLISAO;AUTOMOVEL;40-44;-23.397065;-46.39823
GUARULHOS;2017;2;FEMININO;MANHÃ;OUTROS;PEDESTRE;50-54;-23.4587644791;-46.4820268942
GUARULHOS;2017;2;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-23.440112;-46.556034
GUARULHOS;2017;2;FEMININO;NOITE;CHOQUE;MOTOCICLETA;30-34;-23.4646313734;-46.5293153187
GUARULHOS;2017;2;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;35-39;-23.464653;-46.529525
GUARULHOS;2017;2;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;18-24;-23.4587047668;-46.4474876404
GUARULHOS;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;35-39;-23.4211197127;-46.542943071
GUARULHOS;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.459475;-46.554609
GUARULHOS;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;Não Disponível;-23.4655597984;-46.500710416
GUARULHOS;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;25-29;-23.4499657068;-46.4754151107
GUARULHOS;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;30-34;-23.419354662;-46.3822770605
GUARULHOS;2017;2;MASCULINO;NOITE;COLISAO;NAO DISPONIVEL;45-49;-23.402241;-46.470116
HORTOLANDIA;2017;2;MASCULINO;MADRUGADA;OUTROS;AUTOMOVEL;45-49;-22.850753;-47.232291
HORTOLANDIA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-22.87991963;-47.197146327
IBIRA;2017;2;FEMININO;TARDE;COLISAO;AUTOMOVEL;25-29;-21.0853375812;-49.2554658794
IBIRA;2017;2;MASCULINO;TARDE;COLISAO;AUTOMOVEL;45-49;-21.112865;-49.182099
IBIUNA;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;18-24;-23.6463250269;-47.2161031023
IGUAPE;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;40-44;-24.5028452244;-47.5625748787
IGUAPE;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;40-44;-24.5028452244;-47.5625748787
ILHA COMPRIDA;2017;2;MASCULINO;TARDE;OUTROS;AUTOMOVEL;30-34;Não Disponível;Não Disponível
ILHA SOLTEIRA;2017;2;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;18-24;Não Disponível;Não Disponível
INDAIATUBA;2017;2;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;70-74;-23.075117;-47.202567
INDAIATUBA;2017;2;MASCULINO;MANHÃ;COLISAO;BICICLETA;65-69;-23.077751;-47.218495
INDAIATUBA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-23.142296;-47.234689
INDAIATUBA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;55-59;-23.129179;-47.254575
INDAIATUBA;2017;2;MASCULINO;NOITE;OUTROS;MOTOCICLETA;25-29;-23.086279;-47.228387
ITABERA;2017;2;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;-23.864228;-49.14337
ITABERA;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-23.859429612;-49.129749116
ITANHAEM;2017;2;MASCULINO;MANHÃ;COLISAO;BICICLETA;75-79;-24.170771;-46.77645
ITANHAEM;2017;2;MASCULINO;Não Disponível;ATROPELAMENTO;PEDESTRE;45-49;Não Disponível;Não Disponível
ITANHAEM;2017;2;MASCULINO;NOITE;COLISAO;BICICLETA;40-44;-24.18128;-46.79851
ITANHAEM;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;Não Disponível;Não Disponível
ITAPECERICA DA SERRA;2017;2;FEMININO;Não Disponível;COLISAO;MOTOCICLETA;30-34;-23.711675759;-46.84914383
ITAPECERICA DA SERRA;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;75-79;-23.775654;-46.837857
ITAPECERICA DA SERRA;2017;2;MASCULINO;Não Disponível;CHOQUE;BICICLETA;45-49;-23.733137;-46.859473
ITAPECERICA DA SERRA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;25-29;-23.687999033;-46.807078499
ITAPEVA;2017;2;MASCULINO;NOITE;OUTROS;CAMINHAO;18-24;-24.034096;-48.91514
ITAPEVI;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;18-24;-23.5355937029;-46.9396055062
ITAPIRA;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;25-29;-22.436974;-46.812607
ITAQUAQUECETUBA;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;30-34;-23.453041;-46.334375
ITAQUAQUECETUBA;2017;2;MASCULINO;Não Disponível;ATROPELAMENTO;NAO DISPONIVEL;35-39;-23.4727772909;-46.344344417
ITAQUAQUECETUBA;2017;2;MASCULINO;Não Disponível;OUTROS;MOTOCICLETA;18-24;-23.4727772909;-46.344344417
ITAQUAQUECETUBA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;60-64;-23.4638468735;-46.3341531067
ITAQUAQUECETUBA;2017;2;MASCULINO;NOITE;COLISAO;BICICLETA;45-49;-23.442382108;-46.301467481
ITATIBA;2017;2;FEMININO;MANHÃ;COLISAO;AUTOMOVEL;65-69;-22.9877587456;-46.7849595108
ITATIBA;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;40-44;-22.968495;-46.822862
ITATIBA;2017;2;MASCULINO;TARDE;COLISAO;AUTOMOVEL;50-54;-23.0132682011;-46.8212306009
ITATINGA;2017;2;MASCULINO;Não Disponível;COLISAO;CAMINHAO;35-39;-23.0647202153;-48.5291306176
ITIRAPINA;2017;2;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;0-17;-22.250468;-47.82633
ITU;2017;2;MASCULINO;MADRUGADA;COLISAO;CAMINHAO;35-39;-23.4181154745;-47.2538222623
ITU;2017;2;MASCULINO;MADRUGADA;COLISAO;CAMINHAO;50-54;-23.4181154745;-47.2538222623
ITU;2017;2;MASCULINO;MANHÃ;OUTROS;MOTOCICLETA;40-44;-23.415683481;-47.257704264
ITU;2017;2;MASCULINO;NOITE;CHOQUE;AUTOMOVEL;45-49;-23.2594385154;-47.198694236
JABOTICABAL;2017;2;FEMININO;NOITE;COLISAO;AUTOMOVEL;18-24;-21.233269243;-48.355800281
JABOTICABAL;2017;2;FEMININO;NOITE;COLISAO;AUTOMOVEL;60-64;-21.233269243;-48.355800281
JABOTICABAL;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;60-64;-21.233269243;-48.355800281
JACAREI;2017;2;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;70-74;-23.302778;-45.973403
JARDINOPOLIS;2017;2;MASCULINO;MADRUGADA;COLISAO;ONIBUS;25-29;-20.9192344312;-47.8866889721
JARDINOPOLIS;2017;2;MASCULINO;Não Disponível;ATROPELAMENTO;PEDESTRE;Não Disponível;-20.9278418329;-47.8840924601
JAU;2017;2;MASCULINO;MANHÃ;OUTROS;AUTOMOVEL;18-24;-22.25864;-48.54446
JUNDIAI;2017;2;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;30-34;-23.210900509;-46.891751289
JUNDIAI;2017;2;MASCULINO;TARDE;ATROPELAMENTO;MOTOCICLETA;18-24;-23.190928;-46.952949
JUNDIAI;2017;2;MASCULINO;TARDE;OUTROS;AUTOMOVEL;40-44;-23.2015979918;-46.8922870178
JUQUITIBA;2017;2;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;0-17;-23.9378145096;-47.0638164275
JUQUITIBA;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-23.866269;-47.093081
LAGOINHA;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;0-17;-23.098542;-45.184976
LAVRINHAS;2017;2;MASCULINO;TARDE;CHOQUE;AUTOMOVEL;65-69;-22.5695875662;-44.8651305515
LEME;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;Não Disponível;Não Disponível
LENCOIS PAULISTA;2017;2;MASCULINO;TARDE;OUTROS;CAMINHAO;45-49;Não Disponível;Não Disponível
LIMEIRA;2017;2;FEMININO;MANHÃ;COLISAO;MOTOCICLETA;40-44;-22.5468;-47.3601
LIMEIRA;2017;2;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;45-49;Não Disponível;Não Disponível
LIMEIRA;2017;2;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;40-44;-22.583225;-47.409135
LOUVEIRA;2017;2;MASCULINO;TARDE;NAO DISPONIVEL;AUTOMOVEL;70-74;-23.090420658;-46.97272718
LUCELIA;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;60-64;-21.734144;-51.019656
MAIRINQUE;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;MOTOCICLETA;25-29;-23.529964025;-47.161097044
MAIRINQUE;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;MOTOCICLETA;25-29;-23.529964025;-47.161097044
MAIRIPORA;2017;2;MASCULINO;Não Disponível;NAO DISPONIVEL;NAO DISPONIVEL;75-79;-23.321005;-46.590132
MARILIA;2017;2;FEMININO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;55-59;-22.073067356;-49.873650061
MARILIA;2017;2;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;30-34;-22.288545393;-50.0112947622
MARILIA;2017;2;NÃO DISPONÍVEL;MADRUGADA;CHOQUE;MOTOCICLETA;30-34;-22.213895;-49.942256
MATAO;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;40-44;-21.66768;-48.36503
MIRACATU;2017;2;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-24.3408587121;-47.4988166039
MIRACATU;2017;2;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;Não Disponível;Não Disponível
MIRANTE DO PARANAPANEMA;2017;2;FEMININO;MADRUGADA;COLISAO;ONIBUS;18-24;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;FEMININO;MADRUGADA;COLISAO;ONIBUS;18-24;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;FEMININO;MADRUGADA;COLISAO;ONIBUS;30-34;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;FEMININO;MADRUGADA;COLISAO;ONIBUS;30-34;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;FEMININO;MADRUGADA;COLISAO;ONIBUS;40-44;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;MASCULINO;MADRUGADA;COLISAO;ONIBUS;30-34;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;MASCULINO;MADRUGADA;COLISAO;ONIBUS;50-54;-22.4225187899;-52.1072760736
MIRANTE DO PARANAPANEMA;2017;2;MASCULINO;MADRUGADA;COLISAO;ONIBUS;60-64;-22.4225187899;-52.1072760736
MIRASSOL;2017;2;MASCULINO;MANHÃ;COLISAO;AUTOMOVEL;70-74;-20.804156;-49.535184
MOCOCA;2017;2;MASCULINO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;25-29;-21.437294299;-47.009600821
MOGI DAS CRUZES;2017;2;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;0-17;-23.498998;-46.179242
MOGI DAS CRUZES;2017;2;MASCULINO;MANHÃ;OUTROS;MOTOCICLETA;18-24;-23.508153;-46.14784
MOGI DAS CRUZES;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.53896;-46.227729
MOGI DAS CRUZES;2017;2;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;18-24;-23.492312;-46.147014
MOGI DAS CRUZES;2017;2;MASCULINO;NOITE;OUTROS;BICICLETA;60-64;Não Disponível;Não Disponível
MOGI DAS CRUZES;2017;2;MASCULINO;TARDE;CHOQUE;NAO DISPONIVEL;35-39;-23.5023690113;-46.1909540852
MOGI GUACU;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-22.355613;-46.957264
MONTE APRAZIVEL;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;30-34;-20.6840093693;-49.6877951758
MONTE AZUL PAULISTA;2017;2;FEMININO;NOITE;COLISAO;AUTOMOVEL;45-49;-20.8985721735;-48.6083237319
NAZARE PAULISTA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;0-17;-23.1689698808;-46.3939247868
OLIMPIA;2017;2;MASCULINO;MADRUGADA;CHOQUE;CAMINHAO;25-29;-20.718267;-49.006104
OLIMPIA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;45-49;-20.638183377;-48.91758138
OLIMPIA;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;65-69;-20.638183377;-48.91758138
OSASCO;2017;2;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;30-34;-23.535311;-46.787844
OSASCO;2017;2;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;70-74;-23.5325090246;-46.7846543965
OSASCO;2017;2;MASCULINO;MANHÃ;NAO DISPONIVEL;MOTOCICLETA;25-29;Não Disponível;Não Disponível
OSASCO;2017;2;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;25-29;Não Disponível;Não Disponível
OSVALDO CRUZ;2017;2;MASCULINO;Não Disponível;ATROPELAMENTO;PEDESTRE;0-17;-21.813455;-50.913781
OURINHOS;2017;2;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;35-39;-22.909350559;-49.771479484
OURINHOS;2017;2;MASCULINO;NOITE;NAO DISPONIVEL;MOTOCICLETA;18-24;-22.962618;-49.910112
PALMARES PAULISTA;2017;2;MASCULINO;NOITE;OUTROS;AUTOMOVEL;0-17;Não Disponível;Não Disponível
PALMARES PAULISTA;2017;2;MASCULINO;NOITE;OUTROS;AUTOMOVEL;18-24;Não Disponível;Não Disponível
PANORAMA;2017;2;MASCULINO;Não Disponível;COLISAO;MOTOCICLETA;40-44;-21.3399923256;-51.8352380785
PARANAPANEMA;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-23.451904;-48.889973
PARDINHO;2017;2;MASCULINO;NOITE;COLISAO;AUTOMOVEL;55-59;-23.1443960187;-48.412679045
PARIQUERA-ACU;2017;2;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;-24.709236968;-47.8847832506
PAULINIA;2017;2;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;30-34;-22.7006309528;-47.1474380208
PAULINIA;2017;2;MASCULINO;Não Disponível;COLISAO;MOTOCICLETA;30-34;-22.737263;-47.18224
PEDREIRA;2017;2;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-22.743195;-46.912248
PERUIBE;2017;2;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;55-59;-24.315814;-47.008916
PERUIBE;2017;2;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;55-59;-24.300939145;-47.01477228
PIACATU;2017;2;FEMININO;NOITE;COLISAO;AUTOMOVEL;65-69;-21.611561;-50.614836
PIEDADE;2017;2;MASCULINO;MANHÃ;COLISAO;MOTOCICLETA;18-24;-23.7559907699;-47.4365473366
PIEDADE;2017;2;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;0-17;-23.7237911266;-47.4190805526
