;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 10 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.1020816584732 ; -46.5685501275838 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 10 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.113015 ; -46.591037 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; CAMINHÃO ; 40-44 ; -23.0610112055105 ; -46.6525419397886 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 10 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 50-54 ; -23.101800719532 ; -46.5335874867004 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 55-59 ; -23.242987 ; -46.596803 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 10 ; FEMININO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.107215 ; -48.925516 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.9564696969849 ; -48.843535890896 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -23.1922058454899 ; -48.9625046607829 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bady Bassitt; Bady Bassitt ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -20.9320875166642 ; -49.4556064054761 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barao de Antonina; Barao de Antonina ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.6369989991575 ; -49.5505198805579 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barra do Turvo; Barra do Turvo ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; CAMINHÃO ; 50-54 ; -24.9523899742342 ; -48.441314403839 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 10 ; FEMININO ; NÃO DISPONÍVEL ; COLISÃO ; BICICLETA ; 30-34 ; -20.542057 ; -48.558922 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 10 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -20.5579699909828 ; -48.6473484114145 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -20.5428361772553 ; -48.5943101561097 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 10 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 45-49 ; -23.487652 ; -46.884069 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 10 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 35-39 ; -23.492334 ; -46.84281 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
