Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
Aguas de Lindoia;2017;1;MASCULINO;MANHÃ;COLISÃO;MOTOCICLETA;35-39;-22.478553;-46.635755
Aguas de Lindoia;2017;1;MASCULINO;Não Disponível;COLISÃO;AUTOMÓVEL;18-24;-22.4610541928;-46.5921675127
Alvares Machado;2017;1;MASCULINO;Não Disponível;ATROPELAMENTO;PEDESTRE;75-79;-22.072623;-51.499193
Americana;2017;1;FEMININO;TARDE;COLISÃO;MOTOCICLETA;40-44;-22.7585390704;-47.3156216461
Amparo;2017;1;MASCULINO;TARDE;COLISÃO;MOTOCICLETA;30-34;-22.6368014475;-46.8027202129
Amparo;2017;1;MASCULINO;TARDE;NÃO DISPONÍVEL;NÃO DISPONÍVEL;70-74;-22.721048277;-46.785223535
Andradina;2017;1;MASCULINO;MADRUGADA;COLISÃO;MOTOCICLETA;18-24;-20.865109877;-51.4158362236
Aracariguama;2017;1;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;40-44;-23.4368590224;-47.09694921
Aracatuba;2017;1;FEMININO;NOITE;COLISÃO;AUTOMÓVEL;55-59;-21.1995572154;-50.5681113686
Araraquara;2017;1;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;30-34;-21.752965;-48.182054
Araraquara;2017;1;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;18-24;-21.720623, -48.152574;-48.152586928
Araraquara;2017;1;MASCULINO;TARDE;COLISÃO;AUTOMÓVEL;25-29;-21.7746636964;-48.1002101551
Araras;2017;1;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;65-69;-22.35991;-47.375346
Araras;2017;1;MASCULINO;MADRUGADA;OUTROS;AUTOMÓVEL;25-29;-22.3899;-47.3934
Araras;2017;1;MASCULINO;TARDE;OUTROS;AUTOMÓVEL;30-34;-22.360371;-47.400529
Artur Nogueira;2017;1;MASCULINO;NOITE;COLISÃO;BICICLETA;30-34;-22.5481678776;-47.1709047092
Assis;2017;1;MASCULINO;Não Disponível;OUTROS;AUTOMÓVEL;60-64;-22.667334;-50.408913
Assis;2017;1;MASCULINO;NOITE;COLISÃO;BICICLETA;65-69;-22.674715;-50.426909
Atibaia;2017;1;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;0-17;-23.220667;-46.594557
Atibaia;2017;1;MASCULINO;MADRUGADA;COLISÃO;MOTOCICLETA;Não Disponível;-23.2336858171;-46.6021002328
Atibaia;2017;1;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;25-29;-23.0363195618;-46.5525240999
Atibaia;2017;1;MASCULINO;TARDE;OUTROS;MOTOCICLETA;30-34;-23.06744816;-46.6438777706
Bariri;2017;1;FEMININO;NOITE;COLISÃO;AUTOMÓVEL;25-29;-22.1310595577;-48.7395509831
Barretos;2017;1;FEMININO;MANHÃ;COLISÃO;MOTOCICLETA;30-34;-20.556186;-48.569661
Barueri;2017;1;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;30-34;Não Disponível;Não Disponível 
Barueri;2017;1;MASCULINO;TARDE;COLISÃO;MOTOCICLETA;35-39;-23.5095012505;-46.8181609415
Bastos;2017;1;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;25-29;-21.9113896948;-50.710272949
Batatais;2017;1;MASCULINO;TARDE;COLISÃO;AUTOMÓVEL;50-54;-20.837334915;-47.6015241875
Bauru;2017;1;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;Não Disponível;-22.35965;-49.03834
Bauru;2017;1;MASCULINO;MADRUGADA;CHOQUE;MOTOCICLETA;30-34;-22.312283;-49.069696
Bauru;2017;1;MASCULINO;Não Disponível;CHOQUE;MOTOCICLETA;40-44;-22.2866372648;-49.0940972092
Bauru;2017;1;MASCULINO;TARDE;COLISÃO;MOTOCICLETA;18-24;-22.305738;-49.052239
Bebedouro;2017;1;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;30-34;-20.932579;-48.499755
Bertioga;2017;1;MASCULINO;Não Disponível;COLISÃO;AUTOMÓVEL;18-24;-23.7565828743;-45.8522038035
Bertioga;2017;1;MASCULINO;NOITE;NÃO DISPONÍVEL;NÃO DISPONÍVEL;30-34;-23.7483948537;-46.0463361451
Birigui;2017;1;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;Não Disponível;Não Disponível 
Boituva;2017;1;MASCULINO;MANHÃ;OUTROS;BICICLETA;60-64;-23.284485;-47.674137
Bom Jesus dos Perdoes;2017;1;MASCULINO;MANHÃ;ATROPELAMENTO;PEDESTRE;60-64;-23.144954;-46.467789
Borborema;2017;1;MASCULINO;TARDE;COLISÃO;BICICLETA;0-17;-21.6265672678;-49.0842047144
Botucatu;2017;1;MASCULINO;MADRUGADA;COLISÃO;MOTOCICLETA;35-39;-23.047476102;-48.477079807
Braganca Paulista;2017;1;MASCULINO;MANHÃ;CHOQUE;MOTOCICLETA;18-24;-22.8661534724;-46.625435047
Buritama;2017;1;MASCULINO;NOITE;NÃO DISPONÍVEL;BICICLETA;55-59;-21.051167317;-50.174362511
Cacapava;2017;1;MASCULINO;MANHÃ;CHOQUE;NÃO DISPONÍVEL;45-49;-23.0950044371;-45.68073401
Cacapava;2017;1;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;-23.1088016402;-45.7008709638
Cacapava;2017;1;MASCULINO;NOITE;NÃO DISPONÍVEL;MOTOCICLETA;18-24;-23.095292;-45.702276
Caieiras;2017;1;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;35-39;-23.3594424621;-46.7486972476
Caieiras;2017;1;FEMININO;NOITE;OUTROS;AUTOMÓVEL;30-34;-23.348933;-46.743502
Caieiras;2017;1;FEMININO;NOITE;OUTROS;AUTOMÓVEL;45-49;-23.348933;-46.743502
Caiua;2017;1;FEMININO;NOITE;COLISÃO;AUTOMÓVEL;25-29;-21.84679858;-52.024815197
CAJURU;2017;1;MASCULINO;TARDE;OUTROS;AUTOMÓVEL;65-69;-21.2747423475;-47.2898649485
Campinas;2017;1;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;65-69;Não Disponível;Não Disponível 
