Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
Aguai;2016;12;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;75-79;Não Disponível;Não Disponível 
Aguai;2016;12;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;25-29;-22.0718932128;-46.9806802303
Aguai;2016;12;MASCULINO;MADRUGADA;CHOQUE;AUTOMÓVEL;55-59;-22.0700309518;-47.0205842999
Altinopolis;2016;12;MASCULINO;TARDE;COLISÃO;AUTOMÓVEL;45-49;-21.099888;-47.518064
Alvares Machado;2016;12;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-22.0825409609;-51.4512649556
Americana;2016;12;MASCULINO;MADRUGADA;COLISÃO;MOTOCICLETA;18-24;-22.731705;-47.306719
Americana;2016;12;MASCULINO;MANHÃ;COLISÃO;MOTOCICLETA;45-49;-22.734138;-47.331921
Americana;2016;12;MASCULINO;TARDE;COLISÃO;MOTOCICLETA;25-29;-22.738734;-47.314535
Amparo;2016;12;FEMININO;MANHÃ;ATROPELAMENTO;PEDESTRE;70-74;-22.699784;-46.769663
Amparo;2016;12;FEMININO;NOITE;COLISÃO;AUTOMÓVEL;35-39;-22.7113744914;-46.8253508011
Amparo;2016;12;MASCULINO;NOITE;COLISÃO;AUTOMÓVEL;40-44;-22.7113744914;-46.8253508011
Angatuba;2016;12;MASCULINO;TARDE;CHOQUE;AUTOMÓVEL;18-24;-23.488161;-48.414204
Aparecida D'Oeste;2016;12;MASCULINO;Não Disponível;OUTROS;MOTOCICLETA;18-24;-20.4584738465;-50.8678935474
Aracatuba;2016;12;FEMININO;TARDE;COLISÃO;MOTOCICLETA;40-44;-21.158238;-50.451139
Aracatuba;2016;12;MASCULINO;NOITE;OUTROS;MOTOCICLETA;30-34;-21.213771;-50.473861
Aracoiaba da Serra;2016;12;MASCULINO;NOITE;NÃO ESPECIFICADO;MOTOCICLETA;18-24;-23.522083562;-47.6128153905
Aracoiaba da Serra;2016;12;MASCULINO;TARDE;COLISÃO;MOTOCICLETA;18-24;-23.574326;-47.604285
Araraquara;2016;12;FEMININO;TARDE;NÃO ESPECIFICADO;NÃO ESPECIFICADO;30-34;-21.70954;-48.31452
Araraquara;2016;12;MASCULINO;MANHÃ;OUTROS;MOTOCICLETA;45-49;-21.797643;-48.172876
Araraquara;2016;12;MASCULINO;NOITE;COLISÃO;BICICLETA;35-39;-21.804829;-48.112262
Araraquara;2016;12;MASCULINO;TARDE;CHOQUE;CAMINHÃO;60-64;-21.847167382;-48.1379952706
Araras;2016;12;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;-22.358193;-47.394629
Araras;2016;12;NÃO DISPONÍVEL;NOITE;COLISÃO;BICICLETA;Não Disponível;-22.394188;-47.363788
Areiopolis;2016;12;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;60-64;-22.6784483377;-48.6853580982
Areiopolis;2016;12;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;Não Disponível;-22.6784483377;-48.6853580982
Artur Nogueira;2016;12;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;-22.5823599063;-47.1801333787
Aruja;2016;12;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;Não Disponível;-23.427844;-46.357007
Assis;2016;12;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;-22.6812135347;-50.4401259254
