@relation MPST

@attribute cidade {Aguas-de-Lindoia,Aguai,Aguapei,Aguas-de-Sao-Pedro,Aracoiaba-da-Serra,Aruja,Santa-Cruz-da-Conceicao,Tanabi,Taiuva,Presidente-Venceslau,Sandoval,Riolandia,Restinga,Colina,Pereira-Barreto,Perdeneiras,Oridiuva,Oriente,Nova-Independencia,Jumirim,Julio-Mesquita,Joanopolis,Ituverava,Itapirapua-Paulista,Igarata,Guaiacu,Estrela-do-Norte,Floreal,Cosmororama,Brauna,Canas,Cananeira,Campos-Novos-Paulistas,Buritizal,Avanhamdava,Aramina,Analandia,Valparaiso,Ubarana,Titui,Tiacu,Sao-Sebastiao-da-Grama,Santa-Maria-a-Serra,Salto-Grande,Rafard,Piacatu,Panorama,Pedreira,Monte-Azul-Paulista,Lagoinha,Itatinga,Guararapes,Guaraci,General-Salgado,Clementina,Dobrada,Capela-do-Alto,Mirassolandia,Aluminio,Uchoa,Rincao,Ribeira,Pontes-Gestal,Pontal,Paulinia,Pardinho,Paraiso,Osvaldo-Cruz,Onda-Verde,Ipeuna,Mirandopolis,Lucelia,Jacupiranga,Ipigua,Bocaina,Guzolandia,Cedral,Guarei,Castilho,Garca,Cabreuva,Cristais-Paulista,Barra-do-Chapeu,Avanhandava,Aparecida-D-Oeste,Tuiuti,Vargem-Grande-do-Sul,Santa-Lucia,Santa-Cruz-das-Palmeiras,Roseira,Ribeirao-Branco,Rancharia,Presidente-Bernardes,Piraju,Piracaia,Pinhalzinho,Ouroeste,Nova-Europa,Morro-Agudo,Jaci,Itapui,Itanhanhem,Icem,Descalvado,Areiopolis,Cafelandia,Aguas-da-Prata,Zacarias,Valentim-Gentil,Urupes,Tremembe,Tapiratiba,Tambau,Taciba,Sarapui,Sao-Jose-do-Barreiro,Santo-Antonio-de-Posse,Santa-Ernestina,Rosana,Pongai,Poa,Pitangueiras,Piratininga,Pirapozinho,Pedro-de-Toledo,Pedra-Bela,Orlandia,Novo-Horizonte,Neves-Paulista,Natividade-da-Serra,Luis-Antonio,Lencois,Itajobi,Lencois-Paulista,Irapua,Ilhabela,Ilha-Comprida,Ibitinga,Ibira,Flora-Rica,Fernando-Prestes,Eldorado,Sandovalina,Barao-de-Antonina,Cristais,Barra-do-Turvo,Cosmorama,Sao-Roque,Arealva,Arapei,Americo-Brasiliense,Altinopolis,Alambari,Agudos,Vista-Alegre-do-Alto,Viradouro,Vinhedo,Varzea-Paulista,Vargem,Turmalina,Torrinha,Sarutaia,Sao-Miguel-Arcanjo,Sao-Pedro-do-Turvo,Sao-Luis-do-Paraitinga,Estiva-Gerbi,Sao-Joao-da-Boa-Vista,Sao-Bento-do-Sapucai,Santo-Antonio-do-Jardim,Santo-Antonio-da-Alegria,Louveira,Salesopolis,Rio-das-Pedras,Pradopolis,Porto-Feliz,Poloni,Pirangi,Pindorama,Piedade,Peruibe,Pederneiras,Pauliceia,Paranapanema,Oleo,Palmeira-d-Oeste,Nuporanga,Nova-Granada,Monte-Alto,Mongagua,Miguelopolis,Mesopolis,Matao,Macedonia,Itapeva,Lavrinhas,Jarinu,Itobi,Jardinopolis,Itupeva,Jales,Itapolis,Avare,Itapetininga,Irapuru,Iracemapolis,Herculandia,Ipero,Guariba,Guararema,Guarani-d-Oeste,Barbosa,Guapiacu,Guaira,Guaimbe,Gaviao-Peixoto,Biritiba,Estiva,Coroados,Conchas,Charqueada,Carapicuiba,Buri,Candido-Rodrigues,Cajamar,Cachoeira-Paulista,Boa-Esperanca-do-Sul,Biritiba-Mirim,Guara,Apiai,Mirassol,Aparecida,Timburi,Votuporanga,Urania,Ubatuba,Tres-Fronteiras,Tiete,Tejupa,Tatui,Tarabai,Taboao-da-Serra,Taquaral,Suzano,Socorro,Silveiras,Sete-Barras,Sertaozinho,Serrana,Santa-Gertrudes,Sao-Lourenco-da-Serra,Sao-Jose-dos-Campos,Santa-Fe-do-Sul,Saltinho,Sales-Oliveira,Pratania,Sagres,Rinopolis,Porto-Ferreira,Ribeirao-Bonito,Porangaba,Pompeia,Pirapora-do-Bom-Jesus,Penapolis,Pedregulho,Patrocinio-Paulista,Pariquera-Acu,Palestina,Nova-Odessa,Nova-Alianca,Mirante-do-Paranapanema,Nipoa,Macatuba,Marapoama,Mendonca,Itariri,Itatiba,Lorena,Lindoia,Jose-Bonifacio,Lavinia,Leme,Cesario-Lange,Itapura,Itaporanga,Itapevi,Itapecerica-da-Serra,Ipaussu,Guapiara,Indiana,Ilha-Solteira,Iguape,Igarapava,Ferraz-de-Vasconcelos,Dracena,Espirito-Santo-do-Pinhal,Echapora,Cubatao,Duartina,Cordeiropolis,Ariranha,Casa-Branca,Brotas,Cajati,Capivari,Barra-Bonita,Candido-Mota,Campo-Limpo-Paulista,Alvares-Machado,Angatuba,Americana,Amparo,Andradina,Aracatuba,Araraquara,Balsamo,Aracariguama,Araras,Artur-Nogueira,Assis,Atibaia,Bariri,Barretos,Barueri,Araçariguama,Bananal,Bastos,Batatais,Bauru,Bebedouro,Bertioga,Birigui,Boituva,Bady-Bassitt,Bom-Jesus-dos-Perdoes,Borborema,Botucatu,Braganca-Paulista,Buritama,Cacapava,Caieiras,Caiua,Cajuru,Campinas,Campos-do-Jordao,Capao-Bonito,Caraguatatuba,Catanduva,Catigua,Cerqueira-Cesar,Cerquilho,Cosmopolis,Cotia,Cravinhos,Cruzeiro,Cunha,Diadema,Dumont,Embauba,Embu-das-Artes,Embu-Guacu,Euclides-da-Cunha-P,Fartura,Fernandopolis,Franca,Francisco-Morato,Franco-da-Rocha,Guaratingueta,Guaruja,Guarulhos,Hortolandia,Iacanga,Iaras,Ibate,Ibiuna,Indaiatuba,Ipua,Itabera,Itai,Itanhaem,Itapira,Itaquaquecetuba,Itarare,Itirapina,Itu,Jaboticabal,Jacarei,Jaguariuna,Jandira,Jau,Juquia,Maua,Mogi-das-Cruzes,Mogi-Guacu,Joao-Ramalho,Jundiai,Juquitiba,Limeira,Lins,Mairinque,Mairipora,Manduri,Marilia,MartinopolisMaua,Meridiano,Mineiros-do-Tiete,Miracatu,Mococa,Mogi-Mirim,Monte-Aprazivel,Monte-Mor,Martinopolis,Nazare-Paulista,Olimpia,Osasco,Ourinhos,Palmares-Paulista,Palmital,Paraguacu-Paulista,Pereiras,Pilar-do-Sul,Pindamonhangaba,Piracicaba,Pirassununga,Praia-Grande,Presidente-Epitacio,Reginopolis,Registro,Ribeirao-Pires,Ribeirao-Preto,Rio-Claro,Salto,Salto-de-Pirapora,Santa-Barbara-d-Oeste,Santa-Cruz-da-Conceica,Santa-Cruz-do-Rio-Pard,Santa-Isabel,Santa-R-do-Passa-Q,Santana-de-Parnaiba,Santo-Anastacio,Santo-Andre,Santopolis-do-Aguapei,Santos,Sao-Bento-do-Sapuca,Sao-Bernardo-do-Campo,Sao-Caetano-do-Sul,Sao-Carlos,Sao-Joaquim-da-Barra,Sao-Jose-do-Rio-Pardo,Sao-Jose-do-Rio-Preto,Sao-Manuel,Sao-Paulo,Sao-Pedro,Sao-Sebastiao,Sao-Simao,Sao-Vicente,Serra-Negra,Severinia,Sorocaba,Sud-Mennucci,Sumare,Tabatinga,Tapirai,Taquaritinga,Taquarituba,Taubate,Teodoro-Sampaio,Tupa,Queluz,Presidente-Prudente,Promissao,Valinhos,Vargem-Grande-Paulista,Votorantim,Zacaria}
@attribute Ano {2016,2017}
@attribute Mes {1,2,3,8,9,10,11,12}
@attribute Sexo {MASCULINO,FEMININO, 99999}
@attribute Peirodo {MANHA,TARDE,NOITE,MADRU,99999}
@attribute Tip.Acid {COLISAO,ATROPELAMENTO,CHOQUE,OUTROS,99999}
@attribute Locomacao {MOTOCICLETA,PEDESTRE,AUTOMOVEL,BICICLETA,CAMINHAO,ONIBUS,OUTROS,99999}
@attribute Faixa {17,20, 27, 32, 37, 42, 47, 52, 57, 62, 67, 72, 77, 80, 99999}
@attribute Latitude numeric
@attribute Longitude numeric

@data
Sao-Manuel,2016,9,MASCULINO,NOITE,COLISAO,MOTOCICLETA,42,-23.579680,-46.769813 
Sao-Manuel,2016,9,MASCULINO,NOITE,99999,AUTOMOVEL,27,99999,99999 
Sao-Manuel,2016,9,MASCULINO,NOITE,OUTROS,MOTOCICLETA,32,-23.616197,-46.721033 
Sao-Manuel,2016,9,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,52,-23.602448,-46.515857 
Sao-Manuel,2016,9,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,77,-23.480615,-46.606197 
Sao-Manuel,2016,9,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,80,-23.546978,-46.495795 
Sao-Manuel,2016,9,MASCULINO,TARDE,CHOQUE,AUTOMOVEL,17,-23.603427,-46.526232 
Sao-Manuel,2016,9,MASCULINO,TARDE,COLISAO,AUTOMOVEL,57,-23.602448,-46.515857 
Sao-Manuel,2016,9,MASCULINO,TARDE,COLISAO,AUTOMOVEL,57,-23.667659,,-46.677941 
Sao-Manuel,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,20,-23.774342,-46.675750 
Sao-Manuel,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,20,-23.701013,-46.627783 
Sao-Manuel,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,20,-23.617792,-46.661167 
Sao-Manuel,2016,9,MASCULINO,TARDE,99999,99999,20,-23.441127,-46.720808 
Sao-Manuel,2016,9,MASCULINO,TARDE,OUTROS,MOTOCICLETA,20,-23.629694,-46.716716 
Sao-Pedro,2016,9,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,27,-22.5661974434259,-47.9015068679656 
Sao-Pedro-do-Turvo,2016,9,MASCULINO,MANHA,ATROPELAMENTO,OUTROS,17,-22.745932,-49.742160 
Sao-Pedro-do-Turvo,2016,9,MASCULINO,NOITE,COLISAO,MOTOCICLETA,42,-22.790596, -49.772713 
Sao-Roque,2016,9,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,62,-23.5666758812403,-47.0731931903903 
Sao-Simao,2016,9,MASCULINO,NOITE,COLISAO,MOTOCICLETA,37,-21.4872938171823,-47.6410733987938 
Sao-Vicente,2016,9,FEMININO,TARDE,OUTROS,ONIBUS,80,-23.969068,-46.392589 
Sarutaia,2016,9,FEMININO,MANHA,COLISAO,AUTOMOVEL,62,-23.2637445142492,-49.4416591071933 
Serra-Negra,2016,9,MASCULINO,MANHA,COLISAO,MOTOCICLETA,52,-22.611398188,-46.710257648 
Sertaozinho,2016,9,MASCULINO,MADRU,COLISAO,MOTOCICLETA,27,-21.162449908811,-47.9748934082549 
Sorocaba,2016,9,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,42,-23.5341167847385,-47.5058425007435 
Sorocaba,2016,9,MASCULINO,99999,CHOQUE,AUTOMOVEL,62,-23.501236,-47.429249 
Sorocaba,2016,9,MASCULINO,99999,99999,CAMINHAO,57,-23.51297353419,-47.5416348334093 
Sorocaba,2016,9,MASCULINO,NOITE,OUTROS,AUTOMOVEL,20,-23.5150263976448,-47.42779616862 
Sumare,2016,9,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,32,99999,99999 
Sumare,2016,9,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,52,-22.798437,-47.214865 
Sumare,2016,9,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,47,-22.819709,-47.260509 
Sumare,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,27,-22.894273858,-47.3208749949999 
Suzano,2016,9,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,20,-23.5402519593297,-46.2924257957784 
Suzano,2016,9,MASCULINO,TARDE,COLISAO,AUTOMOVEL,62,-23.6242914438994,-46.3258846297365 
Tapirai,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,99999,-24.028147,-47.561496 
Taquaritinga,2016,9,FEMININO,99999,COLISAO,AUTOMOVEL,57,-21.493780000,-48.572590000 
Taquaritinga,2016,9,MASCULINO,99999,OUTROS,AUTOMOVEL,80,-21.402730000,-48.469870000 
Taquaritinga,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,17,-21.402045,-48.497955 
Taquaritinga,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,17,-21.402045,-48.497955 
Tatui,2016,9,MASCULINO,MANHA,COLISAO,AUTOMOVEL,32,-23.2548624713678,-47.7987873127942 
Tatui,2016,9,MASCULINO,TARDE,COLISAO,AUTOMOVEL,42,-23.3172532085635,-47.8155608185816 
Taubate,2016,9,MASCULINO,MADRU,COLISAO,AUTOMOVEL,57,-23.037878,-45.558978 
Taubate,2016,9,MASCULINO,MANHA,COLISAO,MOTOCICLETA,37,-23.045751,-45.556590 
Torrinha,2016,9,FEMININO,TARDE,COLISAO,AUTOMOVEL,17,-22.4594025560318,-48.1790772378441 
Torrinha,2016,9,MASCULINO,TARDE,COLISAO,AUTOMOVEL,72,-22.4594025560318,-48.1790772378441 
Tupa,2016,9,MASCULINO,NOITE,COLISAO,MOTOCICLETA,32,-22.010193, -50.590576 
Turmalina,2016,9,MASCULINO,99999,99999,MOTOCICLETA,20,-20.026855,-50.480432 
Turmalina,2016,9,MASCULINO,99999,99999,MOTOCICLETA,20,-20.026855,-50.480432 
Ubatuba,2016,9,MASCULINO,NOITE,COLISAO,BICICLETA,57,-23.4502994106404,-45.077195310549 
Valinhos,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,42,-22.950056,-46.984233 
Vargem,2016,9,MASCULINO,NOITE,OUTROS,MOTOCICLETA,67,-22.931602,-46.366119 
Vargem-Grande-Paulista,2016,9,MASCULINO,NOITE,COLISAO,BICICLETA,32,-23.612347, -47.006449 
Vargem-Grande-Paulista,2016,9,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,67,-23.613377,-47.010534 
Varzea-Paulista,2016,9,MASCULINO,NOITE,COLISAO,AUTOMOVEL,17,-23.215316,-46.829432 
Vinhedo,2016,9,MASCULINO,TARDE,COLISAO,BICICLETA,17,-23.047997,-47.009648 
Viradouro,2016,9,MASCULINO,MADRU,COLISAO,CAMINHAO,67,-20.879160,-48.290384 
Vista-Alegre-do-Alto,2016,9,MASCULINO,99999,OUTROS,AUTOMOVEL,20,-21.168541,-48.607391 
Votorantim,2016,9,MASCULINO,TARDE,COLISAO,MOTOCICLETA,32,-23.538201,-47.419704 
Agudos,2016,10,MASCULINO,MADRU,COLISAO,AUTOMOVEL,32,-22.4205569030541,-49.0013756010528 
Alambari,2016,10,MASCULINO,MADRU,COLISAO,AUTOMOVEL,42,-23.577663,-47.829344 
Altinopolis,2016,10,MASCULINO,MANHA,COLISAO,AUTOMOVEL,27,-21.0167427851126,-47.3464604311957 
Alvares-Machado,2016,10,FEMININO,99999,CHOQUE,AUTOMOVEL,62,-22.072811150,-51.511520076 
Americo-Brasiliense,2016,10,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,99999,-21.699558,-48.002640 
Amparo,2016,10,MASCULINO,MANHA,COLISAO,MOTOCICLETA,27,-22.7295137851933,-46.7643341123695 
Amparo,2016,10,MASCULINO,TARDE,OUTROS,MOTOCICLETA,52,-22.7756554928117,-46.7638909517344 
Andradina,2016,10,FEMININO,MANHA,CHOQUE,MOTOCICLETA,27,-20.907185,-51.378217 
Andradina,2016,10,MASCULINO,MANHA,CHOQUE,MOTOCICLETA,32,-20.957566,-51.328785 
Andradina,2016,10,MASCULINO,NOITE,COLISAO,AUTOMOVEL,52,-20.777982,-51.400577 
Angatuba,2016,10,MASCULINO,TARDE,COLISAO,CAMINHAO,32,-23.5319881233998,-48.3444295997325 
Aparecida,2016,10,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,20,-22.833213,-45.216982 
Aparecida,2016,10,MASCULINO,99999,ATROPELAMENTO,PEDESTRE,52,-22.8725585149961,-45.2503284639613 
Aracatuba,2016,10,MASCULINO,MANHA,99999,MOTOCICLETA,27,-21.238954523,-50.437528818 
Arapei,2016,10,MASCULINO,TARDE,CHOQUE,AUTOMOVEL,20,-22.671964,-44.447728 
Araraquara,2016,10,FEMININO,MADRU,CHOQUE,MOTOCICLETA,20,-21.748626,-48.183800 
Araraquara,2016,10,FEMININO,MADRU,CHOQUE,MOTOCICLETA,20,-21.747216,-48.184140 
Araraquara,2016,10,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,62,-21.792739,-48.175543 
Araraquara,2016,10,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,72,-21.795778,-48.178988 
Araraquara,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,37,-21.798067,-48.193248 
Araraquara,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,62,-21.778729,-48.179453 
Araraquara,2016,10,MASCULINO,NOITE,CHOQUE,MOTOCICLETA,27,-21.797327,-48.172759 
Arealva,2016,10,FEMININO,MADRU,COLISAO,AUTOMOVEL,20,-22.0650893057196,-49.022655431623 
Aruja,2016,10,MASCULINO,MANHA,ATROPELAMENTO,PEDESTRE,42,-23.3936950786782,-46.2868751324038 
Aruja,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,99999,-23.388014900502,-46.2740974793293 
Aruja,2016,10,MASCULINO,NOITE,COLISAO,BICICLETA,57,-23.401321,-46.359979 
Assis,2016,10,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,37,-22.6368106712852,-50.4305032753914 
Atibaia,2016,10,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,52,-23.1020816584732,-46.5685501275838 
Atibaia,2016,10,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,77,-23.113015,-46.591037 
Atibaia,2016,10,MASCULINO,NOITE,COLISAO,CAMINHAO,42,-23.0610112055105,-46.6525419397886 
Atibaia,2016,10,MASCULINO,NOITE,99999,MOTOCICLETA,52,-23.101800719532,-46.5335874867004 
Atibaia,2016,10,MASCULINO,TARDE,COLISAO,MOTOCICLETA,57,-23.242987,-46.596803 
Avare,2016,10,FEMININO,MADRU,CHOQUE,MOTOCICLETA,27,-23.107215,-48.925516 
Avare,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,47,-22.9564696969849,-48.843535890896 
Avare,2016,10,MASCULINO,NOITE,COLISAO,AUTOMOVEL,62,-23.1922058454899,-48.9625046607829 
Bady-Bassitt,2016,10,MASCULINO,TARDE,COLISAO,MOTOCICLETA,52,-20.9320875166642,-49.4556064054761 
Barao-de-Antonina,2016,10,MASCULINO,NOITE,COLISAO,MOTOCICLETA,27,-23.6369989991575,-49.5505198805579 
Barra-do-Turvo,2016,10,MASCULINO,99999,COLISAO,CAMINHAO,52,-24.9523899742342,-48.441314403839 
Barretos,2016,10,FEMININO,99999,COLISAO,BICICLETA,32,-20.542057,-48.558922 
Barretos,2016,10,FEMININO,NOITE,COLISAO,MOTOCICLETA,37,-20.5579699909828,-48.6473484114145 
Barretos,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,27,-20.5428361772553,-48.5943101561097 
Barueri,2016,10,MASCULINO,NOITE,CHOQUE,AUTOMOVEL,47,-23.487652,-46.884069 
Barueri,2016,10,MASCULINO,NOITE,99999,MOTOCICLETA,37,-23.492334,-46.84281 
Bauru,2016,10,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,99999,-22.2706187294925,-49.0995551269085 
Bauru,2016,10,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,20,-22.303227,-49.041736 
Bauru,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,99999,-22.391223867,-49.078874903 
Bauru,2016,10,MASCULINO,NOITE,COLISAO,MOTOCICLETA,27,-22.2866372647711,-49.0940972091816 
Bertioga,2016,10,MASCULINO,MADRU,COLISAO,MOTOCICLETA,57,-23.835473,-46.137872 
Birigui,2016,10,MASCULINO,99999,99999,MOTOCICLETA,27,-21.282425,-50.307955  
Biritiba-Mirim,2016,10,FEMININO,TARDE,COLISAO,MOTOCICLETA,32,-23.5677341478535,-46.057376277552 
Biritiba-Mirim,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,62,-23.5691657945104,-46.0670218337727 
Boituva,2016,10,FEMININO,MANHA,CHOQUE,AUTOMOVEL,72,-23.2969896738021,-47.681751790952 
Botucatu,2016,10,MASCULINO,TARDE,COLISAO,MOTOCICLETA,32,-22.934908,-48.444424 
Braganca-Paulista,2016,10,MASCULINO,NOITE,OUTROS,MOTOCICLETA,27,-22.8804234700862,-46.6090375976062 
Cacapava,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,37,-23.0752161135762,-45.6517265532637 
Cacapava,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,57,-23.101605,-45.690458 
Caieiras,2016,10,MASCULINO,NOITE,99999,AUTOMOVEL,47,-23.3748753857646,-46.7487666733592 
Cajati,2016,10,MASCULINO,99999,ATROPELAMENTO,PEDESTRE,52,-24.7410178843453,-48.1270862083364 
Campinas,2016,10,FEMININO,MADRU,CHOQUE,AUTOMOVEL,37,-22.882058926,-47.0605845979999 
Campinas,2016,10,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,80,-22.878631,-47.060240 
Campinas,2016,10,FEMININO,NOITE,COLISAO,MOTOCICLETA,17,-22.976552,-47.137592 
Campinas,2016,10,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,32,-22.771150760,-47.021962079 
Campinas,2016,10,MASCULINO,MADRU,COLISAO,AUTOMOVEL,20,-22.9742354627393,-47.1026984880321 
Campinas,2016,10,MASCULINO,MADRU,COLISAO,MOTOCICLETA,37,-22.9742354627393,-47.1026984880321 
Campinas,2016,10,MASCULINO,MADRU,99999,AUTOMOVEL,32,-22.933676,-47.091836 
Campinas,2016,10,MASCULINO,MANHA,COLISAO,MOTOCICLETA,27,-22.850935852569,-47.1099768116073 
Campinas,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,37,-22.887730246,-47.113253474 
Campinas,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,52,-22.912511,-47.063414 
Campinas,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,99999,-22.906904124,-47.136765718 
Campinas,2016,10,MASCULINO,NOITE,COLISAO,AUTOMOVEL,37,-22.890067825,-47.132940888 
Campinas,2016,10,MASCULINO,NOITE,COLISAO,AUTOMOVEL,37,-22.890067825,-47.132940888 
Campinas,2016,10,MASCULINO,NOITE,COLISAO,MOTOCICLETA,27,-22.937082664,-47.126637697 
Campo-Limpo-Paulista,2016,10,FEMININO,TARDE,COLISAO,MOTOCICLETA,37,-23.2483267200187,-46.7902279773255 
Campo-Limpo-Paulista,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,32,-23.205118,-46.800139 
Campo-Limpo-Paulista,2016,10,MASCULINO,MANHA,ATROPELAMENTO,PEDESTRE,20,-23.177146,-46.765043 
Capao-Bonito,2016,10,MASCULINO,NOITE,COLISAO,AUTOMOVEL,32,-24.0270626304568,-48.359492121046 
Capivari,2016,10,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,52,-22.988418,-47.4816 
Caraguatatuba,2016,10,FEMININO,NOITE,ATROPELAMENTO,AUTOMOVEL,32,-23.5914212275539,-45.3364433596783 
Caraguatatuba,2016,10,MASCULINO,99999,COLISAO,99999,27,-23.5897528202406,-45.4477984287879 
Carapicuiba,2016,10,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,20,-23.566496,-46.850953 
Carapicuiba,2016,10,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,27,-23.566496,-46.850953 
Carapicuiba,2016,10,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,47,-23.524357,-46.818433 
Carapicuiba,2016,10,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,62,-23.5369970152307,-46.8384792418461 
Catanduva,2016,10,FEMININO,NOITE,CHOQUE,AUTOMOVEL,67,-21.147740000,-49.002720000 
Catanduva,2016,10,FEMININO,NOITE,OUTROS,AUTOMOVEL,47,-21.154404,-48.954500 
Catanduva,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,52,-21.090445,-48.963845 
Catanduva,2016,10,MASCULINO,MADRU,COLISAO,AUTOMOVEL,20,-21.086813,-48.962380 
Catanduva,2016,10,MASCULINO,MADRU,COLISAO,AUTOMOVEL,52,-21.086813,-48.962380 
Catigua,2016,10,MASCULINO,TARDE,CHOQUE,MOTOCICLETA,32,-21.0572593836666,-49.0626646586315 
Cerquilho,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,37,-23.1699824387817,-47.7516746351289 
Cordeiropolis,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,37,-22.8969804715727,-47.5076942518284 
Cosmorama,2016,10,MASCULINO,TARDE,OUTROS,MOTOCICLETA,47,-20.403258,-49.735820 
Cotia,2016,10,MASCULINO,MADRU,COLISAO,MOTOCICLETA,20,-23.607507,-46.945032 
Cotia,2016,10,MASCULINO,MADRU,99999,99999,32,-23.603270745,-46.917905967 
Cristais-Paulista,,2016,10,MASCULINO,TARDE,COLISAO,MOTOCICLETA,57,-20.3812751697883,-47.4443246967616 
Cubatao,2016,10,MASCULINO,MADRU,COLISAO,CAMINHAO,37,-23.8888142639179,-46.4866869468239 
Diadema,2016,10,FEMININO,MADRU,OUTROS,MOTOCICLETA,20,-23.6655136883376,-46.6211241581008 
Diadema,2016,10,FEMININO,NOITE,COLISAO,MOTOCICLETA,17,-23.708545,-46.611131 
Diadema,2016,10,MASCULINO,NOITE,COLISAO,MOTOCICLETA,20,-23.685053922,-46.616604883 
Dracena,2016,10,FEMININO,NOITE,COLISAO,AUTOMOVEL,37,-21.5851413706113,-51.6808261001015 
Dracena,2016,10,MASCULINO,MANHA,COLISAO,MOTOCICLETA,47,-21.46494288979,-51.5505272220286 
Eldorado,2016,10,FEMININO,NOITE,COLISAO,AUTOMOVEL,32,-24.5497958468248,-48.1081119650089 
Embu-das-Artes,2016,10,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,99999,-23.662018541062,-46.8525164800997 
Embu-das-Artes,2016,10,MASCULINO,MADRU,CHOQUE,AUTOMOVEL,27,-23.662018541062,-46.8525164800997 
Embu-das-Artes,2016,10,MASCULINO,MADRU,COLISAO,MOTOCICLETA,32,-23.6375499991935,-46.8321121254425 
Embu-das-Artes,2016,10,MASCULINO,MADRU,COLISAO,MOTOCICLETA,37,-23.6375499991935,-46.8321121254425 
Embu-das-Artes,2016,10,MASCULINO,NOITE,CHOQUE,MOTOCICLETA,20,-23.628749,-46.879026 
Embu-Guacu,2016,10,MASCULINO,TARDE,CHOQUE,MOTOCICLETA,20,-23.9199958347121,-46.8674059183588 
Espirito-Santo-do-Pinhal,2016,10,MASCULINO,TARDE,COLISAO,MOTOCICLETA,42,-22.199393,-46.708006 
Fernando-Prestes,2016,10,MASCULINO,99999,COLISAO,MOTOCICLETA,37,-21.347862,-48.726019 
Flora-Rica,2016,10,FEMININO,MANHA,OUTROS,AUTOMOVEL,20,-21.7279778812445,-51.3786960336539 
Flora-Rica,2016,10,FEMININO,MANHA,OUTROS,AUTOMOVEL,20,-21.7279778812445,-51.3786960336539 
Franca,2016,10,MASCULINO,MADRU,OUTROS,MOTOCICLETA,42,-20.569596,-47.393142 
Francisco-Morato,2016,10,MASCULINO,MADRU,OUTROS,MOTOCICLETA,20,-23.290424655,-46.734557292 
Franco-da-Rocha,2016,10,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,37,-23.3335338416938,-46.7113699064484 
Franco-da-Rocha,2016,10,MASCULINO,MANHA,99999,99999,20,-23.334035,-46.72801 
