;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASSIS; ASSIS ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 0-17 ; -22.661579 ; -50.41664 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATIBAIA; ATIBAIA ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.0712626832333 ; -46.56750719892 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVANHANDAVA; AVANHANDAVA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 0-17 ; -21.5615466904876 ; -49.9403487224182 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BADY BASSITT; BADY BASSITT ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; CHOQUE ; MOTOCICLETA ; 35-39 ; -20.884166 ; -49.437827 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA DO TURVO; BARRA DO TURVO ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 0-17 ; -24.763116 ; -48.50275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA DO TURVO; BARRA DO TURVO ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 18-24 ; -24.763116 ; -48.50275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -20.6083203261531 ; -48.7463277531848 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -20.5173517157812 ; -48.6019610633858 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 4 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.506034 ; -46.875851 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BATATAIS; BATATAIS ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.9191362957123 ; -47.6231017495656 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ;-22 ; -49.049421714 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -22.258447838018 ; -49.0580249165573 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 35-39 ; -22.305455 ; -49.050879 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; MASCULINO ; MANHÃ ; NAO DISPONIVEL ; NAO DISPONIVEL ; 50-54 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 60-64 ; -22.35349 ; -49.03302 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 45-49 ; -22.307732 ; -49.033752 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEBEDOURO; BEBEDOURO ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 0-17 ; -20.9760078821772 ; -48.5104444639433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEBEDOURO; BEBEDOURO ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 25-29 ; -20.9760078821772 ; -48.5104444639433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; NAO DISPONIVEL ; -23.8005761783349 ; -46.0716795420123 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRIGUI; BIRIGUI ;2017; 4 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; BICICLETA ; 75-79 ;-21 ; -50.3419499920909 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRITIBA-MIRIM; BIRITIBA-MIRIM ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.5679100208516 ; -46.0478315154329 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRITIBA-MIRIM; BIRITIBA-MIRIM ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 25-29 ; -23.5624865210729 ; -46.0050657034482 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOITUVA; BOITUVA ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 25-29 ; -23.295457457 ; -47.716942991 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAGANCA PAULISTA; BRAGANCA PAULISTA ;2017; 4 ; FEMININO ; MANHÃ ; COLISAO ; AUTOMOVEL ; 30-34 ; -22.9802983980187 ; -46.4926645997029 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAGANCA PAULISTA; BRAGANCA PAULISTA ;2017; 4 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; AUTOMOVEL ; 50-54 ;-23 ; -46.52899 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAUNA; BRAUNA ;2017; 4 ; MASCULINO ; MADRUGADA ; OUTROS ; CAMINHAO ; 35-39 ; -21.505544715103 ; -50.2676289771463 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAUNA; BRAUNA ;2017; 4 ; MASCULINO ; MADRUGADA ; OUTROS ; CAMINHAO ; NAO DISPONIVEL ; -21.505544715103 ; -50.2676289771463 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BURI; BURI ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.800998 ; -48.60543 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CABREUVA; CABREUVA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 70-74 ; -23.2634094314715 ; -47.1170192009007 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACAPAVA; CACAPAVA ;2017; 4 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 50-54 ; -23.079566 ; -45.658318 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACHOEIRA PAULISTA; CACHOEIRA PAULISTA ;2017; 4 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.662597 ; -45.008786 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 4 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; NAO DISPONIVEL ; -23.4005169493338 ; -46.7186411923537 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 4 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ;-23 ; -46.777521372 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJAMAR; CAJAMAR ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.359887 ; -46.873738 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 4 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; NAO DISPONIVEL ; -24.7217207200929 ; -48.0822136674917 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 40-44 ; -23.0182871490724 ; -47.120327465598 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.0021393283134 ; -47.1114790507804 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; MOTOCICLETA ; 18-24 ; -22.967336 ; -47.158532 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -22.852463 ; -47.113687 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MANHÃ ; COLISAO ; MOTOCICLETA ; 30-34 ; -22.950712 ; -47.134126 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; MANHÃ ; COLISAO ; MOTOCICLETA ; 35-39 ; -22.892484838 ; -47.1515833129999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NAO DISPONIVEL ; -23.001498344 ; -47.099643946 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 18-24 ;-23 ; -47.172347 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPO LIMPO PAULISTA; CAMPO LIMPO PAULISTA ;2017; 4 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; AUTOMOVEL ; 65-69 ; -23.2073127675715 ; -46.753832193405 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPO LIMPO PAULISTA; CAMPO LIMPO PAULISTA ;2017; 4 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.2073127675715 ; -46.753832193405 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPOS DO JORDAO; CAMPOS DO JORDAO ;2017; 4 ; FEMININO ; MANHÃ ; COLISAO ; BICICLETA ; 55-59 ; -22.735607 ; -45.587251 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPOS DO JORDAO; CAMPOS DO JORDAO ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 0-17 ; -22.734587 ; -45.605872 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 0-17 ; -23.9882 ; -48.347951 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.850958 ; -48.211808 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 4 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.523581 ; -46.819387 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.563469 ; -46.827539 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -23.563469 ; -46.827539 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA; CATANDUVA ;2017; 4 ; FEMININO ; TARDE ; COLISAO ; AUTOMOVEL ; 55-59 ; -21.1993923006913 ; -48.9954825074426 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA; CATANDUVA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 50-54 ; -21.141489 ; -48.96928 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 4 ; FEMININO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 40-44 ; -23.5898078819966 ; -46.8144644128561 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.5898078819966 ; -46.8144644128561 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRUZEIRO; CRUZEIRO ;2017; 4 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.561193 ; -44.954118 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO; CUBATAO ;2017; 4 ; MASCULINO ; MANHÃ ; OUTROS ; MOTOCICLETA ; 40-44 ; -23.9188601057683 ; -46.4151980087754 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO; CUBATAO ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.8491317460971 ; -46.3822735842798 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESCALVADO; DESCALVADO ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 50-54 ; -21.8925 ; -47.5734 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 4 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 40-44 ; -23.692069 ; -46.614599 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.69216 ; -46.606267 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRACENA; DRACENA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 40-44 ; -21.494004 ; -51.66238 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELDORADO; ELDORADO ;2017; 4 ; MASCULINO ; NOITE ; OUTROS ; CAMINHAO ; 25-29 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELIAS FAUSTO; ELIAS FAUSTO ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.039317 ; -47.353843 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELIAS FAUSTO; ELIAS FAUSTO ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 50-54 ; -23.12189714008 ; -47.3710355658068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU DAS ARTES; EMBU DAS ARTES ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.661968 ; -46.852727 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU DAS ARTES; EMBU DAS ARTES ;2017; 4 ; MASCULINO ; TARDE ; NAO DISPONIVEL ; MOTOCICLETA ; 0-17 ; -23.6549 ; -46.815439 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EUCLIDES DA CUNHA PAULISTA; EUCLIDES DA CUNHA PAULISTA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 0-17 ; -22.4882013427174 ; -52.5701258669396 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDOPOLIS; FERNANDOPOLIS ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 55-59 ; -20.1817644193177 ; -50.2857737854113 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDOPOLIS; FERNANDOPOLIS ;2017; 4 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 35-39 ; -20.272139318638 ; -50.2725235877121 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
