;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA BONITA; BARRA BONITA ;2017; 3 ; MASCULINO ; MANHA ; COLISAO ; AUTOMOVEL ; 40-44 ; -22.450357 ; -48.521734 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA DO TURVO; BARRA DO TURVO ;2017; 3 ; MASCULINO ; NAO DISPONIVEL ; OUTROS ; OUTROS ; 30-34 ;-24.9608284754516 ;-48.4156349995732 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 3 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.502488 ; -46.878533 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 3 ; MASCULINO ; MANHA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.5039939349222 ; -46.8778957169053 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 3 ; MASCULINO ; MANHA ; CHOQUE ; AUTOMOVEL ; 70-74 ; -23.490785 ; -46.95453 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NAO DISPONIVEL ; -23.510317 ; -46.835604 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAURU; BAURU ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -22.297036803558 ; -49.1093436358488 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 3 ; FEMININO ; MANHA ; OUTROS ; AUTOMOVEL ; 40-44 ; -23.794390 ; -46.050918 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 3 ; MASCULINO ; MANHA ; OUTROS ; CAMINHAO ; 40-44 ; -23.7776885367608 ; -45.9682963838703 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 3 ; MASCULINO ; NAO DISPONIVEL ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERTIOGA; BERTIOGA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 55-59 ; -23.7827880283499 ; -46.057729463058 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2017; 3 ; MASCULINO ; TARDE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIRITIBA MIRIM; BIRITIBA MIRIM ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; BICICLETA ; 18-24 ; -23.576771 ; -46.038501 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOM JESUS DOS PERDOES; BOM JESUS DOS PERDOES ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 35-39 ; -23.1252081830571 ; -46.4692255511479 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOM JESUS DOS PERDOES; BOM JESUS DOS PERDOES ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 40-44 ; -23.1252081830571 ; -46.4692255511479 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRAGANCA PAULISTA; BRAGANCA PAULISTA ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.9347271653764 ; -46.5564403705578 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BURITIZAL; BURITIZAL ;2017; 3 ; MASCULINO ; MANHA ; COLISAO ; MOTOCICLETA ; 25-29 ; -20.205248 ; -47.741209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CABREUVA; CABREUVA ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.284374143 ; -47.128296725 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACHOEIRA PAULISTA; CACHOEIRA PAULISTA ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.671473 ; -45.024336 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.3669817925091 ; -46.7520660225472 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJAMAR; CAJAMAR ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; CAMINHAO ; 40-44 ; -23.3372982204491 ; -46.8239281327721 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJAMAR; CAJAMAR ;2017; 3 ; MASCULINO ; MANHA ; CHOQUE ; AUTOMOVEL ; 45-49 ; -23.288188967 ; -46.847215891 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJAMAR; CAJAMAR ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.344925356 ; -46.840928793 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 3 ; MASCULINO ; MADRUGADA ; CHOQUE ; CAMINHAO ; 55-59 ;-24.8405391572735 ;-48.2132162068739 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 3 ; MASCULINO ; MADRUGADA ; CHOQUE ; PEDESTRE ; 35-39 ; -24.8937617488665 ; -48.2360149506315 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 3 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 45-49 ; -24.8891566136605 ; -48.2287312570298 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.870513 ; -47.141270 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; FEMININO ; TARDE ; COLISAO ; NAO DISPONIVEL ; 65-69 ; -23.031053 ; -47.114355 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; MANHA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.915047535977 ; -47.0662084024872 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; NAO DISPONIVEL ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -22.925179 ; -47.126993 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 50-54 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -22.947271 ; -47.186595 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 3 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.0308914881432 ; -47.1142509304018 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPO LIMPO PAULISTA; CAMPO LIMPO PAULISTA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 18-24 ; -23.225822111 ; -46.773667178 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPOS NOVOS PAULISTA; CAMPOS NOVOS PAULISTA ;2017; 3 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 25-29 ; -22.70008 ; -50.034169 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPOS NOVOS PAULISTA; CAMPOS NOVOS PAULISTA ;2017; 3 ; MASCULINO ; TARDE ; OUTROS ; CAMINHAO ; 30-34 ; -22.646041 ; -49.970405 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
