MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Amparo,2017.0,1.0,Masculino,Tarde,ND,ND,70-74,-46.78522353499989,-46.78522353499989
Amparo,2017.0,1.0,Masculino,Tarde,Colisao,Motocicleta,30-34,-46.802720212938205,-46.802720212938205
Amparo,2017.0,4.0,Masculino,Manha,Choque,Automovel,35-39,-46.755395039359996,-46.755395039359996
Analandia,2017.0,3.0,Masculino,Manha,Choque,Motocicleta,35-39,-47.656841468838394,-47.656841468838394
Andradina,2017.0,4.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-51.373667,-51.373667
Andradina,2017.0,4.0,Masculino,Noite,Choque,Automovel,30-34,-51.3974103627958,-51.3974103627958
Andradina,2016.0,10.0,Masculino,Manha,Choque,Motocicleta,30-34,-51.328784999999996,-51.328784999999996
Andradina,2016.0,10.0,Masculino,Noite,Colisao,Automovel,50-54,-51.400577,-51.400577
Andradina,2017.0,1.0,Masculino,Madrugada,Colisao,Motocicleta,18-24,-51.4158362236357,-51.4158362236357
Andradina,2017.0,3.0,Masculino,Madrugada,Colisao,Bicicleta,18-24,-51.388249599498394,-51.388249599498394
Andradina,2016.0,10.0,Feminino,Manha,Choque,Motocicleta,25-29,-51.378217,-51.378217
Andradina,2016.0,11.0,Masculino,Manha,Choque,Automovel,30-34,-51.3413990959655,-51.3413990959655
Andradina,2017.0,3.0,Masculino,Noite,Colisao,Motocicleta,18-24,-51.379039985788495,-51.379039985788495
Andradina,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,40-44,-51.382692,-51.382692
Andradina,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,18-24,-51.371309000000004,-51.371309000000004
Angatuba,2017.0,2.0,Masculino,ND,Outros,Outros,65-69,,
Angatuba,2017.0,2.0,Masculino,Noite,ND,ND,18-24,-48.26111972752479,-48.26111972752479
Angatuba,2016.0,12.0,Masculino,Tarde,Choque,Automovel,18-24,-48.414204,-48.414204
Angatuba,2016.0,9.0,Masculino,Madrugada,Colisao,Motocicleta,18-24,-48.404110827,-48.404110827
Angatuba,2016.0,10.0,Masculino,Tarde,Colisao,Caminhao,30-34,-48.34442959973251,-48.34442959973251
Angatuba,2016.0,8.0,Masculino,Noite,ND,Motocicleta,35-39,,
Aparecida,2016.0,9.0,Masculino,Madrugada,ND,Motocicleta,18-24,-45.223815,-45.223815
Aparecida,2017.0,4.0,Masculino,Tarde,Colisao,Automovel,50-54,-45.234876,-45.234876
Aparecida,2017.0,4.0,Feminino,Manha,Atropelamento,Pedestre,80 Ou Mais,-45.231709,-45.231709
Aparecida,2016.0,10.0,Masculino,Madrugada,Atropelamento,Pedestre,18-24,-45.216982,-45.216982
Aparecida,2016.0,10.0,Masculino,ND,Atropelamento,Pedestre,50-54,-45.250328463961296,-45.250328463961296
Aparecida D'Oeste,2016.0,12.0,Masculino,ND,Outros,Motocicleta,18-24,-50.8678935474135,-50.8678935474135
Apiai,2016.0,11.0,Masculino,Tarde,Outros,Outros,0-17,,
Apiai,2016.0,9.0,Masculino,Noite,Choque,Motocicleta,18-24,,
Aracariguama,2017.0,4.0,Masculino,Tarde,Colisao,Caminhao,55-59,-47.116567093170794,-47.116567093170794
Aracariguama,2016.0,11.0,Masculino,Noite,Choque,Motocicleta,25-29,-47.090188,-47.090188
Aracariguama,2017.0,1.0,Masculino,Madrugada,Atropelamento,Pedestre,40-44,-47.0969492099777,-47.0969492099777
Aracariguama,2016.0,8.0,Masculino,Noite,Atropelamento,Pedestre,ND,-47.108371999999996,-47.108371999999996
Aracariguama,2017.0,4.0,Masculino,Noite,Colisao,Motocicleta,40-44,-47.116567093170794,-47.116567093170794
Aracatuba,2016.0,8.0,Masculino,Madrugada,Atropelamento,Motocicleta,30-34,-50.471003248260295,-50.471003248260295
Aracatuba,2016.0,8.0,Masculino,Manha,Colisao,Bicicleta,60-64,-50.457062,-50.457062
Aracatuba,2016.0,8.0,Masculino,Manha,Outros,Pedestre,40-44,,
Aracatuba,2016.0,8.0,Masculino,Noite,Colisao,Motocicleta,50-54,-50.458049,-50.458049
Aracatuba,2017.0,1.0,Feminino,Noite,Colisao,Automovel,55-59,-50.5681113685963,-50.5681113685963
Aracatuba,2016.0,9.0,Masculino,Manha,ND,ND,35-39,-50.40571,-50.40571
Aracatuba,2016.0,9.0,Masculino,Noite,Outros,Bicicleta,40-44,-50.472578000000006,-50.472578000000006
Aracatuba,2016.0,12.0,Masculino,Noite,Outros,Motocicleta,30-34,-50.473861,-50.473861
Aracatuba,2016.0,12.0,Feminino,Tarde,Colisao,Motocicleta,40-44,-50.451139000000005,-50.451139000000005
Aracatuba,2017.0,4.0,Masculino,Noite,Colisao,Bicicleta,40-44,-50.488892,-50.488892
Aracatuba,2017.0,4.0,Masculino,Noite,Outros,Automovel,0-17,-50.4605019825862,-50.4605019825862
Aracatuba,2017.0,3.0,Masculino,Noite,Colisao,Bicicleta,35-39,-50.423798,-50.423798
Aracatuba,2017.0,2.0,Masculino,Manha,ND,Motocicleta,25-29,,
Aracatuba,2017.0,3.0,Masculino,Madrugada,Colisao,Motocicleta,18-24,-50.443756,-50.443756
Aracatuba,2017.0,4.0,Masculino,Manha,Outros,Automovel,18-24,-50.415468,-50.415468
Aracatuba,2016.0,10.0,Masculino,Manha,ND,Motocicleta,25-29,-50.437528818000004,-50.437528818000004
Aracatuba,2016.0,11.0,Masculino,Manha,Atropelamento,Pedestre,45-49,-50.467546999999996,-50.467546999999996
Aracoiaba Da Serra,2016.0,8.0,Feminino,Manha,Colisao,Motocicleta,30-34,-47.574723999999996,-47.574723999999996
Aracoiaba Da Serra,2017.0,3.0,Masculino,Tarde,ND,Caminhao,55-59,-47.6293710334254,-47.6293710334254
Aracoiaba Da Serra,2017.0,3.0,Feminino,Madrugada,Outros,Motocicleta,0-17,-47.7119819164707,-47.7119819164707
Aracoiaba Da Serra,2016.0,8.0,Masculino,Manha,Colisao,Motocicleta,25-29,-47.6293710334254,-47.6293710334254
Aracoiaba Da Serra,2016.0,8.0,Masculino,Noite,Outros,Motocicleta,25-29,-47.559768056109895,-47.559768056109895
Aracoiaba Da Serra,2016.0,12.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-47.604285,-47.604285
Aracoiaba Da Serra,2016.0,12.0,Masculino,Noite,NE,Motocicleta,18-24,-47.6128153904637,-47.6128153904637
Aramina,2017.0,4.0,Masculino,Tarde,Atropelamento,Pedestre,45-49,-47.7904072340392,-47.7904072340392
Aramina,2017.0,4.0,Masculino,Tarde,Atropelamento,Pedestre,40-44,-47.7904072340392,-47.7904072340392
Aramina,2017.0,4.0,Masculino,Tarde,Atropelamento,Pedestre,35-39,-47.7904072340392,-47.7904072340392
Aramina,2017.0,3.0,Masculino,Noite,Colisao,Automovel,50-54,-47.788551786999996,-47.788551786999996
Arapei,2016.0,10.0,Masculino,Tarde,Choque,Automovel,18-24,-44.447728000000005,-44.447728000000005
Araraquara,2017.0,1.0,Masculino,Noite,Choque,Motocicleta,30-34,-48.182054,-48.182054
Araraquara,2016.0,10.0,Masculino,Noite,Choque,Motocicleta,25-29,-48.172759,-48.172759
Araraquara,2016.0,10.0,Masculino,Noite,Atropelamento,Pedestre,60-64,-48.179453,-48.179453
Araraquara,2017.0,3.0,Masculino,ND,ND,ND,30-34,,
Araraquara,2017.0,3.0,Masculino,Madrugada,Colisao,Caminhao,50-54,-48.0875003977902,-48.0875003977902
Araraquara,2016.0,11.0,Masculino,Noite,Colisao,Motocicleta,25-29,-48.098675223,-48.098675223
Araraquara,2017.0,1.0,Masculino,Tarde,Colisao,Automovel,25-29,-48.100210155114695,-48.100210155114695
