MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Guarulhos,2016.0,8.0,Masculino,Tarde,Colisao,Automovel,70-74,-46.466846000000004,-46.466846000000004
Guarulhos,2016.0,12.0,Feminino,Noite,Atropelamento,Pedestre,75-79,-46.524194,-46.524194
Guarulhos,2016.0,8.0,Feminino,Manha,Atropelamento,Pedestre,60-64,-46.4056427199018,-46.4056427199018
Guarulhos,2017.0,3.0,Feminino,Noite,Atropelamento,Pedestre,75-79,-46.522495440654296,-46.522495440654296
Guarulhos,2017.0,3.0,Feminino,Tarde,Atropelamento,Pedestre,55-59,-46.52243,-46.52243
Guarulhos,2017.0,3.0,Masculino,Manha,Atropelamento,Pedestre,50-54,-46.534194,-46.534194
Guarulhos,2017.0,3.0,Masculino,Manha,Colisao,Automovel,75-79,-46.508555,-46.508555
Guarulhos,2016.0,12.0,Masculino,Manha,Colisao,Automovel,25-29,-46.45874710139871,-46.45874710139871
Guarulhos,2016.0,12.0,Masculino,Manha,Atropelamento,Pedestre,70-74,-46.5153101899408,-46.5153101899408
Guarulhos,2016.0,12.0,Masculino,Manha,Atropelamento,Pedestre,35-39,-46.449179786461805,-46.449179786461805
Guarulhos,2016.0,12.0,Masculino,Madrugada,NE,NE,50-54,-46.520365999999996,-46.520365999999996
Guarulhos,2016.0,12.0,Masculino,Madrugada,Choque,Motocicleta,0-17,,
Guarulhos,2016.0,12.0,Masculino,Madrugada,Choque,Automovel,18-24,-46.526726000000004,-46.526726000000004
Guarulhos,2016.0,12.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-46.454890254442,-46.454890254442
Guarulhos,2017.0,2.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.5007104160002,-46.5007104160002
Guarulhos,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,25-29,-46.47541511072479,-46.47541511072479
Guarulhos,2016.0,8.0,Feminino,Tarde,Atropelamento,Pedestre,70-74,-46.551695874879506,-46.551695874879506
Guarulhos,2016.0,8.0,Masculino,Manha,Choque,ND,30-34,-46.373520415,-46.373520415
Guarulhos,2016.0,8.0,Masculino,Manha,Colisao,Motocicleta,35-39,-46.46399,-46.46399
Guarulhos,2016.0,8.0,Masculino,ND,Atropelamento,Pedestre,40-44,-46.46399,-46.46399
Guarulhos,2016.0,8.0,Masculino,ND,Atropelamento,Pedestre,45-49,-46.521437,-46.521437
Guarulhos,2016.0,8.0,Masculino,Noite,Atropelamento,Pedestre,25-29,-46.495219,-46.495219
Guarulhos,2016.0,8.0,Masculino,Noite,Atropelamento,Pedestre,55-59,-46.53333,-46.53333
Guarulhos,2016.0,8.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.388192161999996,-46.388192161999996
Guarulhos,2016.0,8.0,Masculino,Tarde,Choque,Automovel,60-64,-46.5007104160002,-46.5007104160002
Guarulhos,2016.0,12.0,Feminino,Manha,Outros,Motocicleta,30-34,-46.510033617412205,-46.510033617412205
Guarulhos,2016.0,12.0,Feminino,Madrugada,Colisao,Motocicleta,35-39,-46.43955,-46.43955
Guarulhos,2017.0,3.0,Masculino,ND,Choque,Motocicleta,18-24,-46.438435,-46.438435
Guarulhos,2016.0,8.0,Feminino,Manha,Outros,Motocicleta,25-29,-46.519397,-46.519397
Guzolandia,2016.0,12.0,Masculino,Noite,Colisao,Automovel,0-17,-50.711661432083595,-50.711661432083595
Herculandia,2016.0,9.0,Masculino,Tarde,Colisao,Automovel,60-64,-50.350125582853096,-50.350125582853096
Hortolandia,2016.0,9.0,Masculino,Manha,Colisao,Motocicleta,18-24,-47.198978000000004,-47.198978000000004
Hortolandia,2017.0,1.0,Feminino,Madrugada,Atropelamento,Pedestre,65-69,-47.2133439767143,-47.2133439767143
Hortolandia,2017.0,2.0,Masculino,Madrugada,Outros,Automovel,45-49,-47.232291,-47.232291
Hortolandia,2017.0,4.0,Masculino,Madrugada,Atropelamento,Pedestre,45-49,-47.245345,-47.245345
Hortolandia,2016.0,11.0,Masculino,Madrugada,Choque,Motocicleta,25-29,-47.2264503949016,-47.2264503949016
Hortolandia,2016.0,10.0,Masculino,Madrugada,Outros,Motocicleta,25-29,-47.228773,-47.228773
Hortolandia,2016.0,10.0,Masculino,Manha,Colisao,Motocicleta,40-44,-47.196815,-47.196815
Hortolandia,2017.0,2.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-47.197146327,-47.197146327
Hortolandia,2016.0,12.0,Masculino,Tarde,Atropelamento,Pedestre,30-34,-47.1650134792306,-47.1650134792306
Hortolandia,2016.0,11.0,Feminino,Manha,Atropelamento,Pedestre,70-74,-47.174784,-47.174784
Hortolandia,2016.0,12.0,Masculino,Tarde,Choque,Automovel,35-39,-47.231543,-47.231543
Hortolandia,2016.0,11.0,Masculino,Tarde,Atropelamento,Pedestre,80 Ou Mais,-47.222919,-47.222919
Hortolandia,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-47.174146845941706,-47.174146845941706
Hortolandia,2016.0,8.0,Masculino,Tarde,ND,ND,18-24,-47.204451662,-47.204451662
Hortolandia,2017.0,4.0,Masculino,Noite,Colisao,Motocicleta,30-34,-47.230146999999995,-47.230146999999995
Iacanga,2017.0,1.0,Masculino,Tarde,Colisao,Automovel,45-49,-49.033678060199,-49.033678060199
Iacri,2017.0,4.0,Feminino,Madrugada,Choque,Automovel,35-39,-50.71481768262779,-50.71481768262779
Iaras,2016.0,10.0,Masculino,Madrugada,Colisao,Onibus,35-39,-49.159948988000004,-49.159948988000004
Iaras,2016.0,12.0,Masculino,Noite,Colisao,Caminhao,45-49,-49.1727659064573,-49.1727659064573
Iaras,2016.0,9.0,Feminino,Manha,Atropelamento,Pedestre,55-59,-49.161660999999995,-49.161660999999995
Iaras,2017.0,1.0,Masculino,ND,Outros,Automovel,45-49,-49.12085483436629,-49.12085483436629
Ibate,2016.0,9.0,Feminino,Manha,Colisao,Motocicleta,30-34,-47.96578,-47.96578
Ibate,2016.0,11.0,Masculino,ND,Colisao,Bicicleta,80 Ou Mais,-47.993716,-47.993716
Ibate,2017.0,1.0,Masculino,Noite,Outros,Automovel,0-17,-47.987142999999996,-47.987142999999996
Ibira,2016.0,11.0,Feminino,Noite,Colisao,Automovel,18-24,-49.2479837833238,-49.2479837833238
Ibira,2016.0,10.0,Masculino,Madrugada,Colisao,Automovel,35-39,-49.2375294187803,-49.2375294187803
Ibira,2017.0,2.0,Feminino,Tarde,Colisao,Automovel,25-29,-49.2554658794143,-49.2554658794143
Ibira,2017.0,2.0,Masculino,Tarde,Colisao,Automovel,45-49,-49.182099,-49.182099
Ibitinga,2016.0,10.0,Masculino,Madrugada,Choque,Motocicleta,45-49,-48.820394,-48.820394
Ibiuna,2017.0,1.0,Feminino,Madrugada,ND,ND,30-34,-47.1200202008928,-47.1200202008928
Ibiuna,2017.0,3.0,Masculino,Noite,Colisao,Automovel,40-44,-47.2216,-47.2216
Ibiuna,2017.0,2.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-47.2161031023378,-47.2161031023378
Ibiuna,2017.0,1.0,Masculino,Noite,Outros,Automovel,35-39,-47.221923,-47.221923
Ibiuna,2016.0,12.0,Masculino,Tarde,Choque,Automovel,25-29,-47.2189343769526,-47.2189343769526
Ibiuna,2017.0,3.0,Masculino,Madrugada,Atropelamento,Pedestre,35-39,-47.22403363944329,-47.22403363944329
Ibiuna,2016.0,12.0,Feminino,Manha,Atropelamento,Pedestre,60-64,,
Ibiuna,2016.0,12.0,Feminino,Manha,Colisao,Automovel,65-69,-47.1883281101223,-47.1883281101223
Ibiuna,2016.0,12.0,Feminino,Noite,Colisao,Automovel,75-79,-47.20551,-47.20551
Ibiuna,2016.0,12.0,Masculino,Madrugada,Colisao,Automovel,45-49,-47.101410164093195,-47.101410164093195
Ibiuna,2016.0,12.0,Masculino,Manha,Colisao,Automovel,60-64,-47.1883281101223,-47.1883281101223
Ibiuna,2017.0,4.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-47.116455,-47.116455
Ibiuna,2016.0,12.0,Masculino,Tarde,Colisao,Automovel,70-74,-47.1372607748402,-47.1372607748402
Ibiuna,2017.0,4.0,Masculino,Noite,Colisao,Automovel,55-59,-47.166240444489205,-47.166240444489205
Ibiuna,2017.0,4.0,Masculino,Noite,Colisao,Automovel,40-44,-47.227273204462,-47.227273204462
Ibiuna,2016.0,8.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-47.128211867827304,-47.128211867827304
Icem,2016.0,11.0,Masculino,Noite,Colisao,Motocicleta,25-29,-49.209363825324296,-49.209363825324296
Igarapava,2016.0,8.0,Masculino,Noite,ND,Motocicleta,40-44,-47.769055301150395,-47.769055301150395
Igarata,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-46.1589847004521,-46.1589847004521
Iguape,2017.0,3.0,Masculino,Noite,Outros,Motocicleta,35-39,-47.576319,-47.576319
Iguape,2016.0,11.0,Masculino,Madrugada,Atropelamento,Pedestre,18-24,-47.626344403034295,-47.626344403034295
Iguape,2017.0,3.0,Masculino,Noite,ND,ND,55-59,,
Iguape,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,40-44,-47.5625748786517,-47.5625748786517
Iguape,2016.0,8.0,Feminino,Tarde,Choque,Automovel,25-29,-47.5212675394905,-47.5212675394905
Iguape,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,40-44,-47.5625748786517,-47.5625748786517
Ilha Comprida,2016.0,10.0,Masculino,Tarde,Choque,Motocicleta,50-54,-47.507329,-47.507329
Ilha Comprida,2017.0,2.0,Masculino,Tarde,Outros,Automovel,30-34,,
Ilha Solteira,2016.0,10.0,Masculino,Tarde,Colisao,Automovel,18-24,-51.334429,-51.334429
Ilha Solteira,2017.0,2.0,Masculino,Madrugada,ND,ND,18-24,,
Ilha Solteira,2017.0,4.0,Masculino,ND,Atropelamento,Pedestre,55-59,-51.343252,-51.343252
Ilha Solteira,2016.0,12.0,Masculino,Noite,NE,Automovel,70-74,-51.059591,-51.059591
Ilha Solteira,2016.0,8.0,Feminino,Noite,Colisao,Automovel,60-64,-51.302888,-51.302888
Ilha Solteira,2016.0,8.0,Masculino,Tarde,Choque,Automovel,60-64,-51.1353766152381,-51.1353766152381
Ilhabela,2016.0,10.0,Masculino,Madrugada,Choque,Motocicleta,30-34,-45.364946,-45.364946
Indaiatuba,2016.0,8.0,Masculino,Noite,Outros,Motocicleta,45-49,-47.2160997425292,-47.2160997425292
Indaiatuba,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,35-39,-47.2013963480756,-47.2013963480756
Indaiatuba,2017.0,2.0,Masculino,Noite,Outros,Motocicleta,25-29,-47.228387,-47.228387
Indaiatuba,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,55-59,-47.254575,-47.254575
Indaiatuba,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,18-24,-47.234689,-47.234689
Indaiatuba,2017.0,2.0,Masculino,Manha,Colisao,Bicicleta,65-69,-47.218495000000004,-47.218495000000004
Indaiatuba,2016.0,9.0,Masculino,Tarde,Outros,Bicicleta,70-74,-47.199292,-47.199292
Indaiatuba,2016.0,9.0,Masculino,Tarde,Colisao,Motocicleta,25-29,-47.253791475179995,-47.253791475179995
Indaiatuba,2016.0,9.0,Masculino,Tarde,Choque,Motocicleta,55-59,-47.188809,-47.188809
Indaiatuba,2016.0,9.0,Masculino,Tarde,Atropelamento,Pedestre,40-44,-47.211870217,-47.211870217
Indaiatuba,2017.0,2.0,Feminino,Noite,Atropelamento,Pedestre,70-74,-47.202566999999995,-47.202566999999995
Indaiatuba,2017.0,4.0,Masculino,Noite,Atropelamento,Pedestre,ND,-47.1949935819999,-47.1949935819999
Indaiatuba,2017.0,1.0,Feminino,Manha,Atropelamento,Pedestre,75-79,-47.212263,-47.212263
Indaiatuba,2017.0,1.0,Masculino,Madrugada,Colisao,Automovel,30-34,-47.253791475179995,-47.253791475179995
Indaiatuba,2017.0,1.0,Masculino,Madrugada,Colisao,Automovel,35-39,-47.253791475179995,-47.253791475179995
Indaiatuba,2016.0,8.0,Masculino,Noite,Colisao,Motocicleta,40-44,-47.208790185957206,-47.208790185957206
Indaiatuba,2017.0,1.0,Masculino,Madrugada,Colisao,Automovel,45-49,-47.253791475179995,-47.253791475179995
Indaiatuba,2017.0,1.0,Masculino,Noite,ND,Automovel,50-54,-47.209974,-47.209974
Indaiatuba,2017.0,1.0,Masculino,Noite,Outros,Motocicleta,45-49,-47.271826000000004,-47.271826000000004
Indaiatuba,2017.0,4.0,Feminino,Tarde,Colisao,Motocicleta,40-44,-47.208790185957206,-47.208790185957206
Indaiatuba,2016.0,10.0,Masculino,Madrugada,Colisao,Motocicleta,40-44,-47.208790185957206,-47.208790185957206
Indaiatuba,2016.0,10.0,Masculino,Manha,ND,Motocicleta,18-24,-47.172635568123,-47.172635568123
Indaiatuba,2017.0,3.0,Masculino,Noite,Colisao,Motocicleta,35-39,-47.275151,-47.275151
Indaiatuba,2017.0,3.0,Masculino,Tarde,Colisao,Bicicleta,65-69,,
Indaiatuba,2016.0,12.0,Masculino,Noite,Outros,Bicicleta,75-79,,
Indaiatuba,2016.0,12.0,Masculino,Noite,Colisao,NE,25-29,-47.210104,-47.210104
Indaiatuba,2016.0,12.0,Feminino,Noite,Colisao,Motocicleta,35-39,-47.2463891422723,-47.2463891422723
Indaiatuba,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,18-24,-47.2463891422723,-47.2463891422723
Indaiatuba,2016.0,12.0,Masculino,Noite,Colisao,Motocicleta,25-29,-47.2463891422723,-47.2463891422723
Indaiatuba,2017.0,3.0,Masculino,Tarde,Colisao,Motocicleta,40-44,-47.218629,-47.218629
Indaiatuba,2017.0,1.0,Masculino,ND,ND,ND,40-44,,
Indaiatuba,2017.0,4.0,Masculino,Tarde,Choque,Automovel,25-29,,
Indiana,2017.0,3.0,Masculino,Noite,Colisao,Motocicleta,18-24,-51.256355,-51.256355
Indiana,2016.0,8.0,Masculino,Noite,Colisao,Motocicleta,40-44,-51.262345,-51.262345
Ipaussu,2016.0,8.0,Masculino,Manha,Colisao,Automovel,25-29,-49.6732966920123,-49.6732966920123
Ipaussu,2017.0,4.0,Masculino,Madrugada,Choque,Automovel,18-24,-49.630393302571,-49.630393302571
Ipaussu,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,30-34,-49.645084034835904,-49.645084034835904
Ipero,2016.0,9.0,Masculino,Madrugada,Colisao,Automovel,45-49,-47.567518,-47.567518
Ipeuna,2016.0,12.0,Masculino,Tarde,Choque,Caminhao,25-29,-47.694733,-47.694733
Ipigua,2016.0,12.0,Masculino,Noite,NE,Motocicleta,30-34,-49.387697306399794,-49.387697306399794
Iporanga,2017.0,4.0,Masculino,Tarde,Colisao,Bicicleta,0-17,,
Ipua,2017.0,4.0,Feminino,Manha,Colisao,Bicicleta,18-24,-48.016834,-48.016834
Ipua,2017.0,1.0,Feminino,Noite,Colisao,Bicicleta,18-24,-48.026008000000004,-48.026008000000004
Iracemapolis,2016.0,9.0,Masculino,Noite,Colisao,Motocicleta,18-24,-47.519969,-47.519969
Irapua,2016.0,10.0,Masculino,Madrugada,Atropelamento,Pedestre,65-69,-49.3984577611276,-49.3984577611276
Irapuru,2016.0,9.0,Masculino,Tarde,Choque,Automovel,30-34,-51.371327873222704,-51.371327873222704
Itabera,2017.0,1.0,Masculino,Manha,Colisao,Motocicleta,55-59,-49.1182056423449,-49.1182056423449
Itabera,2017.0,2.0,Feminino,Tarde,Atropelamento,Pedestre,0-17,-49.143370000000004,-49.143370000000004
Itabera,2017.0,2.0,Masculino,Tarde,Colisao,Motocicleta,25-29,-49.129749116000006,-49.129749116000006
Itabera,2016.0,10.0,Masculino,Manha,Colisao,Motocicleta,50-54,-49.047097263312395,-49.047097263312395
Itabera,2017.0,3.0,Masculino,Tarde,Colisao,Motocicleta,ND,-49.1352693076943,-49.1352693076943
Itabera,2016.0,9.0,Masculino,Madrugada,Colisao,Caminhao,75-79,-49.25328484355929,-49.25328484355929
Itai,2017.0,1.0,Masculino,Tarde,Colisao,Automovel,25-29,-49.092433968487704,-49.092433968487704
Itai,2016.0,10.0,Masculino,Noite,Outros,Motocicleta,55-59,-49.1080905804615,-49.1080905804615
Itai,2016.0,10.0,Masculino,Madrugada,ND,ND,40-44,-49.087517999999996,-49.087517999999996
Itajobi,2016.0,10.0,Masculino,Madrugada,Colisao,Automovel,45-49,-49.053781795868304,-49.053781795868304
Itajobi,2016.0,10.0,Masculino,Noite,Choque,Automovel,25-29,-49.091442,-49.091442
Itajobi,2017.0,3.0,Masculino,Madrugada,Atropelamento,Automovel,60-64,-49.0378139933796,-49.0378139933796
Itanhaem,2017.0,4.0,Masculino,ND,ND,ND,50-54,-46.776519,-46.776519
Itanhaem,2017.0,2.0,Masculino,Noite,Colisao,Bicicleta,40-44,-46.79851,-46.79851
Itanhaem,2017.0,2.0,Masculino,Tarde,Atropelamento,Pedestre,0-17,,
Itanhaem,2016.0,11.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-46.872620797405794,-46.872620797405794
Itanhaem,2016.0,12.0,Masculino,Tarde,NE,Motocicleta,30-34,-46.864679438386496,-46.864679438386496
Itanhaem,2016.0,12.0,Masculino,Noite,Outros,Automovel,40-44,-46.840846921685106,-46.840846921685106
Itanhaem,2016.0,12.0,Feminino,Tarde,NE,Motocicleta,30-34,-46.864679438386496,-46.864679438386496
Itanhaem,2017.0,4.0,Masculino,Noite,Colisao,Bicicleta,35-39,-46.8805689601677,-46.8805689601677
Itanhaem,2016.0,11.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-46.8249315112204,-46.8249315112204
Itanhaem,2016.0,11.0,Masculino,Manha,Outros,ND,30-34,-46.840846921685106,-46.840846921685106
Itanhaem,2017.0,2.0,Masculino,Manha,Colisao,Bicicleta,75-79,-46.77645,-46.77645
Itanhaem,2016.0,11.0,Masculino,Manha,Outros,Bicicleta,55-59,,
Itanhaem,2016.0,11.0,Masculino,Manha,Colisao,Bicicleta,40-44,-46.872620797405794,-46.872620797405794
Itanhaem,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,0-17,-46.8567278506388,-46.8567278506388
Itanhaem,2017.0,4.0,Masculino,Tarde,Colisao,Motocicleta,40-44,-46.823059,-46.823059
Itanhaem,2017.0,2.0,Masculino,ND,Atropelamento,Pedestre,45-49,,
Itanhaem,2017.0,1.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.904430861833404,-46.904430861833404
Itanhaem,2017.0,1.0,Masculino,ND,ND,Motocicleta,40-44,-46.8169686616194,-46.8169686616194
Itapecerica Da Serra,2017.0,4.0,Masculino,Manha,Colisao,Motocicleta,50-54,-46.8451140008881,-46.8451140008881
Itapecerica Da Serra,2016.0,10.0,Feminino,ND,Atropelamento,Pedestre,ND,-46.913606023730004,-46.913606023730004
Itapecerica Da Serra,2016.0,10.0,Masculino,Madrugada,Colisao,Motocicleta,45-49,-46.8458670043072,-46.8458670043072
Itapecerica Da Serra,2016.0,9.0,Masculino,Manha,Colisao,Automovel,18-24,-46.8458670043072,-46.8458670043072
Itapecerica Da Serra,2016.0,9.0,Masculino,Manha,Colisao,ND,70-74,-46.8458670043072,-46.8458670043072
Itapecerica Da Serra,2016.0,9.0,Masculino,Noite,Atropelamento,Pedestre,60-64,-46.818127471681,-46.818127471681
Itapecerica Da Serra,2016.0,9.0,Masculino,Noite,Colisao,Automovel,45-49,-46.908698027502794,-46.908698027502794
Itapecerica Da Serra,2017.0,3.0,Masculino,Tarde,Colisao,Automovel,40-44,-46.8458670043072,-46.8458670043072
Itapecerica Da Serra,2016.0,12.0,Feminino,Madrugada,Outros,Motocicleta,ND,-46.8822398567696,-46.8822398567696
Itapecerica Da Serra,2016.0,12.0,Masculino,Noite,Colisao,Motocicleta,45-49,-46.903999347942104,-46.903999347942104
Itapecerica Da Serra,2016.0,12.0,Masculino,Noite,NE,Bicicleta,50-54,-46.818127471681,-46.818127471681
Itapecerica Da Serra,2016.0,12.0,Masculino,Noite,Outros,Motocicleta,35-39,-46.852357,-46.852357
Itapecerica Da Serra,2016.0,12.0,Masculino,Tarde,Outros,Motocicleta,30-34,-46.851914,-46.851914
Itapecerica Da Serra,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,0-17,-46.8997626346114,-46.8997626346114
Itapecerica Da Serra,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.8633276596002,-46.8633276596002
Itapecerica Da Serra,2016.0,8.0,Feminino,ND,ND,Motocicleta,25-29,-46.818278,-46.818278
Itapecerica Da Serra,2017.0,4.0,Masculino,ND,Outros,Automovel,45-49,-46.821609,-46.821609
Itapecerica Da Serra,2017.0,2.0,Feminino,ND,Colisao,Motocicleta,30-34,-46.849143829999896,-46.849143829999896
Itapecerica Da Serra,2016.0,11.0,Masculino,Noite,Atropelamento,Pedestre,18-24,-46.82504,-46.82504
Itapecerica Da Serra,2017.0,2.0,Masculino,ND,Choque,Bicicleta,45-49,-46.859473,-46.859473
Itapecerica Da Serra,2017.0,2.0,Masculino,Noite,Colisao,Automovel,25-29,-46.8070784989999,-46.8070784989999
Itapecerica Da Serra,2017.0,2.0,Masculino,Manha,Atropelamento,Pedestre,75-79,-46.837857,-46.837857
Itapecerica Da Serra,2017.0,4.0,Masculino,Manha,Atropelamento,Pedestre,40-44,,
Itapecerica Da Serra,2016.0,8.0,Masculino,ND,Atropelamento,Pedestre,50-54,-46.852039000000005,-46.852039000000005
Itapecerica Da Serra,2016.0,11.0,Masculino,Tarde,Choque,Motocicleta,25-29,-46.796457000000004,-46.796457000000004
Itapetininga,2017.0,3.0,Masculino,Noite,Colisao,Motocicleta,45-49,-48.082063889,-48.082063889
Itapetininga,2017.0,4.0,Feminino,Noite,Atropelamento,Pedestre,75-79,-47.982481809208096,-47.982481809208096
Itapetininga,2016.0,10.0,Masculino,Madrugada,Atropelamento,ND,25-29,-48.147956,-48.147956
Itapetininga,2016.0,10.0,Masculino,Manha,Colisao,Automovel,45-49,-48.253195600863705,-48.253195600863705
Itapetininga,2016.0,10.0,Masculino,Manha,Colisao,Automovel,50-54,-48.253195600863705,-48.253195600863705
Itapetininga,2016.0,10.0,Masculino,Manha,ND,ND,35-39,-48.08639500304461,-48.08639500304461
Itapetininga,2016.0,10.0,Masculino,Noite,Atropelamento,Pedestre,80 Ou Mais,-48.037797999999995,-48.037797999999995
Itapetininga,2016.0,10.0,Masculino,Noite,Colisao,Bicicleta,35-39,-48.17343673272389,-48.17343673272389
Itapetininga,2016.0,10.0,Masculino,Noite,Outros,Automovel,60-64,-48.012115,-48.012115
Itapetininga,2017.0,4.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-48.0343252767066,-48.0343252767066
Itapetininga,2016.0,11.0,Masculino,Madrugada,Atropelamento,Pedestre,55-59,-48.107544254,-48.107544254
Itapetininga,2016.0,11.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-48.046406,-48.046406
Itapetininga,2016.0,9.0,Masculino,Madrugada,Atropelamento,Pedestre,35-39,-48.047934999999995,-48.047934999999995
Itapetininga,2016.0,9.0,Masculino,Madrugada,ND,ND,30-34,-48.1077754083123,-48.1077754083123
Itapetininga,2017.0,3.0,Masculino,Madrugada,Atropelamento,Pedestre,45-49,-48.0865248857611,-48.0865248857611
Itapetininga,2016.0,11.0,Masculino,Madrugada,Choque,Bicicleta,65-69,-48.0865248857611,-48.0865248857611
Itapetininga,2017.0,3.0,Masculino,Noite,Choque,Motocicleta,18-24,-48.013234000000004,-48.013234000000004
Itapeva,2017.0,2.0,Masculino,Noite,Outros,Caminhao,18-24,-48.91514,-48.91514
Itapeva,2016.0,9.0,Masculino,Manha,Choque,Automovel,40-44,-48.905640999999996,-48.905640999999996
Itapeva,2016.0,9.0,Masculino,Tarde,Colisao,Motocicleta,35-39,-48.878869,-48.878869
Itapeva,2017.0,3.0,Masculino,Manha,Colisao,Motocicleta,0-17,-48.933390192283106,-48.933390192283106
Itapeva,2017.0,3.0,Masculino,Manha,Colisao,Motocicleta,0-17,-48.933390192283106,-48.933390192283106
Itapeva,2017.0,3.0,Masculino,Tarde,Colisao,Caminhao,55-59,-48.94178845283461,-48.94178845283461
Itapeva,2017.0,4.0,Feminino,Tarde,Colisao,Automovel,80 Ou Mais,-48.796151,-48.796151
Itapeva,2017.0,4.0,Masculino,Manha,Atropelamento,Pedestre,35-39,-48.901301000000004,-48.901301000000004
Itapeva,2016.0,10.0,Masculino,Madrugada,ND,Motocicleta,18-24,-48.816488,-48.816488
Itapeva,2017.0,4.0,Masculino,Tarde,Colisao,Automovel,45-49,-48.796151,-48.796151
Itapevi,2017.0,3.0,Feminino,Manha,Atropelamento,Pedestre,65-69,-46.938013,-46.938013
Itapevi,2017.0,2.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-46.939605506169,-46.939605506169
Itapevi,2016.0,11.0,Masculino,Tarde,Choque,Motocicleta,18-24,-46.936454083814205,-46.936454083814205
Itapevi,2016.0,8.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-46.971554316398894,-46.971554316398894
Itapevi,2016.0,12.0,Masculino,Madrugada,Atropelamento,Pedestre,70-74,-46.940420674826704,-46.940420674826704
Itapevi,2017.0,4.0,Feminino,Noite,Atropelamento,Pedestre,35-39,-46.932304830194205,-46.932304830194205
Itapevi,2016.0,9.0,Masculino,Manha,Colisao,Motocicleta,35-39,-46.94078055600001,-46.94078055600001
Itapevi,2016.0,9.0,Masculino,Manha,Colisao,Motocicleta,30-34,-46.965965000000004,-46.965965000000004
Itapevi,2016.0,9.0,Feminino,Madrugada,Atropelamento,Pedestre,30-34,-46.979454,-46.979454
Itapevi,2016.0,12.0,Masculino,ND,Outros,Automovel,55-59,-46.944216,-46.944216
Itapevi,2016.0,10.0,Masculino,Tarde,Outros,Automovel,25-29,-46.964117456480295,-46.964117456480295
Itapira,2016.0,11.0,Masculino,Noite,Choque,ND,40-44,,
Itapira,2017.0,1.0,Masculino,Manha,Colisao,Automovel,55-59,-46.7468,-46.7468
Itapira,2017.0,3.0,Masculino,Tarde,Colisao,Motocicleta,18-24,-46.7468,-46.7468
Itapira,2017.0,3.0,Masculino,Tarde,Outros,Caminhao,60-64,-46.829409999999996,-46.829409999999996
Itapira,2017.0,2.0,Masculino,Manha,Colisao,Motocicleta,25-29,-46.812607,-46.812607
Itapira,2016.0,11.0,ND,Manha,Outros,Automovel,35-39,,
Itapira,2016.0,11.0,Masculino,Tarde,Colisao,Automovel,18-24,-46.7654,-46.7654
Itapira,2016.0,8.0,Masculino,Tarde,Choque,Automovel,70-74,-46.803406,-46.803406
Itapira,2016.0,8.0,Masculino,Manha,Atropelamento,Pedestre,80 Ou Mais,-46.823827,-46.823827
Itapira,2016.0,8.0,Feminino,Noite,Colisao,Motocicleta,18-24,-46.837089,-46.837089
Itapira,2017.0,3.0,Masculino,ND,Colisao,Motocicleta,50-54,-46.8078,-46.8078
Itapira,2017.0,1.0,Masculino,Manha,Colisao,Automovel,70-74,-46.7468,-46.7468
Itapira,2016.0,9.0,Masculino,Tarde,Colisao,Automovel,60-64,-46.8087,-46.8087
Itapira,2017.0,4.0,Masculino,ND,ND,ND,18-24,,
Itapirapua Paulista,2017.0,3.0,Masculino,Manha,Colisao,Automovel,70-74,-49.220317,-49.220317
Itapolis,2016.0,12.0,Masculino,Tarde,Choque,Automovel,18-24,-48.763342,-48.763342
Itapolis,2017.0,3.0,Masculino,Manha,Colisao,Automovel,18-24,-48.670259971144,-48.670259971144
Itapolis,2016.0,9.0,Masculino,Madrugada,Choque,Automovel,18-24,-48.67694,-48.67694
