;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2016; 12 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -22.6812135347241 ; -50.4401259253793 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -22.6973532833249 ; -50.5137795171532 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -22.6973532833249 ; -50.5137795171532 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 12 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.1597562935968 ; -46.573594496392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avanhandava; Avanhandava ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -21.469854 ; -49.94022 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 12 ; FEMININO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.0397627416339 ; -48.8789996098873 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.0397627416339 ; -48.8789996098873 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -23.337138283 ; -46.836433411 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barra do Chapeu; Barra do Chapeu ;2016; 12 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -24.470237 ; -49.024556 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barra do Chapeu; Barra do Chapeu ;2016; 12 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -24.470237 ; -49.024556 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barra do Turvo; Barra do Turvo ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; ONIBUS ; 55-59 ; -24.9328292649815 ; -48.2828524793587 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 12 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -20.548553 ; -48.577003 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 12 ; MASCULINO ; Não Disponível ; NÃO ESPECIFICADO ; AUTOMÓVEL ; 60-64 ; -20.4997665035213 ; -48.5387048208986 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 12 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 45-49 ; -23.511635 ; -46.853703 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 12 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.512864 ; -46.871068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.508363489034 ; -46.826518269339 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 12 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -22.332791 ; -49.086527 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -22.3230495957669 ; -49.0523242608441 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 12 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.347928588844 ; -49.0281914083025 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 50-54 ; -22.281685 ; -49.059717 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 12 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 0-17 ; -22.3383359321253 ; -49.2930287560893 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
