;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Carapicuiba; Carapicuiba ;4; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 3 ; -   ; -   ; 387,735 ;  Metropolitana de São Paulo  ;;
Piracicaba; Piracicaba ;6; -   ; 6 ; -   ; -   ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 3 ; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; 2 ; 1 ; 382,817 ;  Campinas  ;;
Bauru; Bauru ;1; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 358,619 ;  Bauru  ;;
Itaquaquecetuba; Itaquaquecetuba ;5; 1 ; 4 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; 1 ; 2 ; 1 ; 355,502 ;  Metropolitana de São Paulo  ;;
Sao Vicente; Sao Vicente ;2; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 350,254 ;  Santos  ;;
Franca; Franca ;3; -   ; 3 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 335,564 ;  Franca  ;;
Guaruja; Guaruja ;4; -   ; 4 ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 3 ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; -   ; 308,522 ;  Santos  ;;
Praia Grande; Praia Grande ;5; 2 ; 3 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; 1 ; -   ; 3 ; -   ; -   ; 3 ; 1 ; 1 ; -   ; -   ; 301,024 ;  Santos  ;;
Taubate; Taubate ;4; 1 ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; 299,140 ;  São José dos Campos  ;;
Limeira; Limeira ;6; -   ; 5 ; 1 ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; 3 ; 1 ; 1 ; 290,613 ;  Campinas  ;;
