;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Poa; Poa ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 112,820 ;  Metropolitana de São Paulo  ;;
Salto; Salto ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; 112,449 ;  Sorocaba  ;;
Caraguatatuba; Caraguatatuba ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 111,787 ;  São José dos Campos  ;;
Ourinhos; Ourinhos ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 108,327 ;  Marília  ;;
Assis; Assis ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 99,591 ;  Marília  ;;
Paulinia; Paulinia ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 98,915 ;  Campinas  ;;
Leme; Leme ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 98,284 ;  Campinas  ;;
Caieiras; Caieiras ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 96,368 ;  Metropolitana de São Paulo  ;;
Itanhaem; Itanhaem ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 95,235 ;  Santos  ;;
Mairipora; Mairipora ;1; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 93,418 ;  Metropolitana de São Paulo  ;;
Itapeva; Itapeva ;3; -   ; 3 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 90,414 ;  Itapeva  ;;
Votuporanga; Votuporanga ;2; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; 89,776 ;  São José do Rio Preto  ;;
Cacapava; Cacapava ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 89,483 ;  São José dos Campos  ;;
Mogi Mirim; Mogi Mirim ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 89,390 ;  Campinas  ;;
Sao Joao da Boa Vista; Sao Joao da Boa Vista ;2; -   ; 2 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 86,349 ;  Campinas  ;;
Avare; Avare ;1; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 86,238 ;  Sorocaba  ;;
Ubatuba; Ubatuba ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 85,866 ;  São José dos Campos  ;;
Lorena; Lorena ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 85,442 ;  São José dos Campos  ;;
Aruja; Aruja ;3; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 85,286 ;  Metropolitana de São Paulo  ;;
Sao Roque; Sao Roque ;5; -   ; 5 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; 3 ; -   ; 1 ; 85,059 ;  Sorocaba  ;;
Sao Sebastiao; Sao Sebastiao ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 83,314 ;  São José dos Campos  ;;
Campo Limpo Paulista; Campo Limpo Paulista ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 80,282 ;  Campinas  ;;
Matao; Matao ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 79,171 ;  Central  ;;
Cruzeiro; Cruzeiro ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 79,117 ;  São José dos Campos  ;;
Ibiuna; Ibiuna ;2; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 74,875 ;  Sorocaba  ;;
Bebedouro; Bebedouro ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 74,483 ;  Barretos  ;;
Lins; Lins ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 74,120 ;  Bauru  ;;
Cajamar; Cajamar ;3; -   ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; 73,588 ;  Metropolitana de São Paulo  ;;
Vinhedo; Vinhedo ;2; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 73,561 ;  Campinas  ;;
Jaboticabal; Jaboticabal ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 73,541 ;  Ribeirão Preto  ;;
Pirassununga; Pirassununga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 72,691 ;  Campinas  ;;
Itapira; Itapira ;3; -   ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; 70,802 ;  Campinas  ;;
Amparo; Amparo ;2; -   ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 68,602 ;  Campinas  ;;
Cosmopolis; Cosmopolis ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 67,647 ;  Campinas  ;;
Mococa; Mococa ;1; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 66,606 ;  Campinas  ;;
Embu-Guacu; Embu-Guacu ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 66,470 ;  Metropolitana de São Paulo  ;;
Fernandopolis; Fernandopolis ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 65,776 ;  São José do Rio Preto  ;;
Lencois Paulista; Lencois Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 64,933 ;  Bauru  ;;
Peruibe; Peruibe ;2; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 64,248 ;  Santos  ;;
Tupa; Tupa ;2; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 63,004 ;  Marília  ;;
Penapolis; Penapolis ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 60,157 ;  Araçatuba  ;;
Batatais; Batatais ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 59,167 ;  Franca  ;;
Bertioga; Bertioga ;5; 1 ; 4 ; -   ; -   ; 2 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 2 ; 2 ; 58,595 ;  Santos  ;;
Ibitinga; Ibitinga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 57,022 ;  Central  ;;
Mirassol; Mirassol ;3; 1 ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; 56,685 ;  São José do Rio Preto  ;;
Monte Mor; Monte Mor ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 56,359 ;  Campinas  ;;
Nova Odessa; Nova Odessa ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 56,142 ;  Campinas  ;;
Andradina; Andradina ;2; -   ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 55,886 ;  Araçatuba  ;;
Itupeva; Itupeva ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 54,901 ;  Campinas  ;;
Boituva; Boituva ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 54,817 ;  Sorocaba  ;;
Taquaritinga; Taquaritinga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 54,321 ;  Central  ;;
Registro; Registro ;2; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 54,091 ;  Registro  ;;
Santa Isabel; Santa Isabel ;2; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 53,748 ;  Metropolitana de São Paulo  ;;
Porto Ferreira; Porto Ferreira ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 53,361 ;  Central  ;;
Piedade; Piedade ;2; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 53,078 ;  Sorocaba  ;;
Sao Jose do Rio Pardo; Sao Jose do Rio Pardo ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 52,839 ;  Campinas  ;;
Capivari; Capivari ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 52,543 ;  Campinas  ;;
Mongagua; Mongagua ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 52,169 ;  Santos  ;;
Jaguariuna; Jaguariuna ;2; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 52,125 ;  Campinas  ;;
Olimpia; Olimpia ;2; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 51,826 ;  Barretos  ;;
Porto Feliz; Porto Feliz ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 50,877 ;  Sorocaba  ;;
Artur Nogueira; Artur Nogueira ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 50,351 ;  Campinas  ;;
Vargem Grande Paulista; Vargem Grande Paulista ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 49,842 ;  Metropolitana de São Paulo  ;;
Campos do Jordao; Campos do Jordao ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 49,442 ;  São José dos Campos  ;;
Sao Joaquim da Barra; Sao Joaquim da Barra ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 49,220 ;  Franca  ;;
Itarare; Itarare ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 48,633 ;  Itapeva  ;;
Rio Grande da Serra; Rio Grande da Serra ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 48,076 ;  Metropolitana de São Paulo  ;;
Monte Alto; Monte Alto ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 47,959 ;  Ribeirão Preto  ;;
Jales; Jales ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 47,204 ;  São José do Rio Preto  ;;
Cabreuva; Cabreuva ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 47,068 ;  Campinas  ;;
Pontal; Pontal ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 46,869 ;  Ribeirão Preto  ;;
Capao Bonito; Capao Bonito ;3; 3 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 46,247 ;  Itapeva  ;;
Santa Cruz do Rio Pardo; Santa Cruz do Rio Pardo ;1; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 45,452 ;  Marília  ;;
Mairinque; Mairinque ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 45,439 ;  Sorocaba  ;;
Louveira; Louveira ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 45,236 ;  Campinas  ;;
Pedreira; Pedreira ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 45,161 ;  Campinas  ;;
Tremembe; Tremembe ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 44,617 ;  São José dos Campos  ;;
Cerquilho; Cerquilho ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 44,552 ;  Sorocaba  ;;
Dracena; Dracena ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 44,545 ;  Presidente Prudente  ;;
Pederneiras; Pederneiras ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 44,383 ;  Bauru  ;;
Paraguacu Paulista; Paraguacu Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 43,629 ;  Marília  ;;
Salto de Pirapora; Salto de Pirapora ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 43,043 ;  Sorocaba  ;;
Serrana; Serrana ;1; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 42,820 ;  Ribeirão Preto  ;;
Garca; Garca ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 42,654 ;  Marília  ;;
Espirito Santo do Pinhal; Espirito Santo do Pinhal ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 42,405 ;  Campinas  ;;
Presidente Epitacio; Presidente Epitacio ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 42,060 ;  Presidente Prudente  ;;
Orlandia; Orlandia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 41,570 ;  Franca  ;;
Jardinopolis; Jardinopolis ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 41,436 ;  Ribeirão Preto  ;;
Itapolis; Itapolis ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 41,120 ;  Central  ;;
Vargem Grande do Sul; Vargem Grande do Sul ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 40,863 ;  Campinas  ;;
